(en, pt)
erased | apagadas | [ɪɹˈeɪzd]
escape | fugir | [ɛskˈeɪp]
essential | essencial | [ɪsˈɛnʃəl]
euros | euros | [jˈʊəɹəʊz]
everything | tudo | [ˈɛvɹɪθˌɪŋ]
evolving | evoluindo | [ɪvˈɒlvɪŋ]
exactly | exatamente | [ɛɡzˈaktli]
examines | examina | [ɛɡzˈamɪnz]
excellent | excelente | [ˈɛksələnt]
excited | animada | [ɛksˈaɪtɪd]
exclaims | exclama | [ɛksklˈeɪmz]
excuse | desculpa | [ɛkskjˈuːs]
exhausted | exausto | [ɛɡzˈɔːstɪd]
existed | existiu | [ɛɡzˈɪstɪd]
existing | existindo | [ɛɡzˈɪstɪŋ]
expensive | caro | [ɛkspˈɛnsɪv]
experience | experiência | [ɛkspˈiəɹɪəns]
explains | explica | [ɛksplˈeɪnz]
explore | explorar | [ɛksplˈɔː]
extended | estendidas | [ɛkstˈɛndɪd]
eyes | olhos | [ˈaɪz]
fabric | tecido | [fˈabɹɪk]
face | cara | [fˈeɪs]
falls | cai | [fˈɔːlz]
far | longe | [fˈɑː]
farm | fazenda | [fˈɑːm]
farmer | fazendeiro | [fˈɑːmə]
fast | rápido | [fˈast]
father | pai | [fˈɑːðə]
favor | favor | [fˈeɪvə]
favorite | preferido | [fˈeɪvəɹɪt]
fear | medo | [fˈiə]
feed | alimentam | [fˈiːd]
feel | sentir | [fˈiːl]
feeling | sentindo | [fˈiːlɪŋ]
feels | sente | [fˈiːlz]
few | poucos | [fjˈuː]
field | campo | [fˈiːld]
fields | campos | [fˈiːldz]
fifteen | quinze | [fɪftˈiːn]
fight | briga | [fˈaɪt]
fills | enche | [fˈɪlz]
finally | finalmente | [fˈaɪnəli]
find | encontram | [fˈaɪnd]
finds | encontra | [fˈaɪndz]
finished | acabada | [fˈɪnɪʃt]
fire | fogo | [fˈaɪə]
fireplace | lareira | [fˈaɪəpleɪs]
firewood | lenha | [fˈaɪəwʊd]
firmness | firmeza | [fˈɜːmnəs]
first | primeiro | [fˈɜːst]
five | cinco | [fˈaɪv]
flame | chama | [flˈeɪm]
fog | neblina | [fˈɒɡ]
fold | dobre | [fˈəʊld]
follow | seguem | [fˈɒləʊ]
following | seguindo | [fˈɒləʊɪŋ]
follows | segue | [fˈɒləʊz]
food | comida | [fˈuːd]
for | para | [fˈɔː]
forgets | esquece | [fəɡˈɛts]
forgive | perdoa | [fəɡˈɪv]
forgot | esqueci | [fəɡˈɒt]
fortunately | felizmente | [fˈɔːtʃənətli]
found | encontrado | [fˈaʊnd]
four | quatro | [fˈɔː]
fragility | fragilidade | [fɹadʒˈɪlɪti]
frantically | freneticamente | [fɹˈantɪkli]
free | livre | [fɹˈiː]
fresh | fresco | [fɹˈɛʃ]
front | frente | [fɹˈʌnt]
full | cheio | [fˈʊl]
future | futuro | [fjˈuːtʃə]
futures | futuros | [fjˈuːtʃəz]
gas | gás | [ɡˈas]
gathered | reunidos | [ɡˈaðəd]
gently | suavemente | [dʒˈɛntli]
gifts | dons | [ɡˈɪfts]
give | dar | [ɡˈɪv]
given | dadas | [ɡˈɪvən]
gives | dá | [ɡˈɪvz]
go | ir | [ɡˈəʊ]
goat | cabra | [ɡˈəʊt]
god | deus | [ɡˈɒd]
goes | vai | [ɡˈəʊz]
gone | ido | [ɡˈɒn]
good | boa | [ɡˈʊd]
grandmother | avó | [ɡɹˈandmʌðə]
gratitude | gratidão | [ɡɹˈatɪtjˌuːd]
great | ótima | [ɡɹˈeɪt]
green | verdes | [ɡɹˈiːn]
grimace | careta | [ɡɹˈɪmɪs]
grocery | mercearia | [ɡɹˈəʊsəɹɪ]
group | grupo | [ɡɹˈuːp]
grows | cresce | [ɡɹˈəʊz]
guide | guia | [ɡˈaɪd]
guided | guiou | [ɡˈaɪdɪd]
guilty | culpado | [ɡˈɪlti]
had | teve | [hˈad]
hall | salão | [hˈɔːl]
ham | presunto | [hˈam]
hand | mão | [hˈand]
hands | mãos | [hˈandz]
happen | acontecem | [hˈapən]
happening | acontecendo | [hˈapənɪŋ]
happens | acontece | [hˈapənz]
happiness | felicidade | [hˈapɪnəs]
happy | feliz | [hˈapi]
hard | dura | [hˈɑːd]
harmony | harmonia | [hˈɑːmənɪ]
harvests | colhe | [hˈɑːvɪsts]
has | tem | [hˈaz]
have | tenha | [hˈav]
