# French words from phr-01.txt
# Level: B
# Total unique words: 80
#
# Format: word | translation | [ipa]
# One word per line
#

allez | Go on | [alˈe]
anglais | English | [ɑ̃ɡlˈɛ]
anglaise | English | [ɑ̃ɡlˈɛz]
aujourd'hui | Today | [oʒuʁdyˈi]
avez | have | [avˈe]
bas | down | [bˈa]
besoin | need | [bəzwˈɛ̃]
bientôt | soon | [bjɛ̃tˈoː]
c'est | it is / this is | [sˈɛ]
ce | This | [sˈə-]
cher | Dear | [ʃˈɛʁ]
cherche | look for | [ʃˈɛʁʃ]
combien | How much | [kɔ̃bjˈɛ̃]
comment | how | [kɔmˈɑ̃]
comprends | understand | [kɔ̃pʁˈɑ̃]
coûte | costs | [kˈut]
côté | side | [kotˈe]
de | of / from | [dˈə-]
demain | tomorrow | [dəmˈɛ̃]
dire | say | [dˈiʁ]
dit | said | [dˈi]
droit | right | [dʁwˈa]
droite | RIGHT | [dʁwˈat]
déjà | Already | [deʒˈa]
en | in | [ˈɑ̃]
encore | Again | [ɑ̃kˈɔʁ]
est | East | [ˈɛ]
face | face | [fˈas]
français | French | [fʁɑ̃sˈɛ]
gauche | LEFT | [ɡˈoʃ]
heure | hour | [ˈœʁ]
hier | yesterday | [jˈɛʁ]
ici | here | [isˈi]
il | he | [ˈil]
j'ai | I have | [ʒˈe]
j'habite | I live | [ʒabˈit]
je | I | [ʒˈə-]
lentement | slowly | [lɑ̃tmˈɑ̃]
les | THE | [lˈe-]
loin | far | [lwˈɛ̃]
londres | London | [lˈɔ̃dʁ]
là | there | [lˈa]
m'aider | help me | [mɛdˈe]
m'appelle | call me | [mapˈɛl]
maintenant | NOW | [mɛ̃tnˈɑ̃]
ne | not (negation particle) | [nˈə-]
nom | name | [nˈɔ̃]
on | we | [ˈɔ̃]
où | Or | [ˈu]
parle | speak | [pˈaʁl]
parler | talk | [paʁlˈe]
parlez | speak | [paʁlˈe]
pas | not | [pˈa]
peu | little | [pˈø]
plus | more | [plˈy]
pouvez | can | [puvˈe]
près | close | [pʁˈɛ]
qu'est | what is | [kˈɛ]
que | that | [kˈə]
quel | what | [kˈɛl]
quelle | what | [kˈɛl]
répéter | repeat | [ʁepetˈe]
sont | are | [sˈɔ̃]
suis | am | [syˈi]
t'appelles | you call | [tapˈɛl]
tard | late | [tˈaʁ]
toilettes | bathroom | [twalˈɛt]
toujours | always | [tuʒˈuʁ]
tout | all / everything | [tˈu]
trop | too much | [tʁˈo]
tu | you | [tˈy]
un | a / one (m) | [ˈœ̃]
va | goes / is going | [vˈa]
veut | wanna | [vˈø]
viens | come | [vjˈɛ̃]
votre | your | [vˈotʁ]
voudrais | would like | [vudʁˈɛ]
vous | you (formal/plural) | [vˈu]
à | to / at | [ˈa]
ça | that / it | [sˈa]
