# French words from phr-01.txt
# Level: A
# Total unique words: 69
#
# Format: word | translation | [ipa]
# One word per line
#

allons | let's go / we go | [alˈɔ̃]
anniversaire | birthday | [anivɛʁsˈɛʁ]
année | year | [anˈe]
appétit | appetite | [apetˈi]
attention | watch out / careful | [atɑ̃sjˈɔ̃]
au | to the / at the | [ˈo]
avec | with | [avˈɛk]
bien | good / well | [bjˈɛ̃]
bientôt | soon | [bjɛ̃tˈoː]
bienvenue | welcome | [bjɛ̃vnˈy]
bon | good | [bˈɔ̃]
bonjour | hello / good day | [bɔ̃ʒˈuʁ]
bonne | good (f) | [bˈɔn]
bonsoir | good evening | [bɔ̃swˈaʁ]
c'est | it is / this is | [sˈɛ]
ci | here | [sˈi]
comme | like / as | [kˈɔm]
courage | courage | [kuʁˈaʒ]
d'accord | okay / agreed | [dakˈɔʁ]
de | of / from | [dˈə-]
demain | tomorrow | [dəmˈɛ̃]
enchanté | delighted / nice to meet you (m) | [ɑ̃ʃɑ̃tˈe]
enchantée | delighted / nice to meet you (f) | [ɑ̃ʃɑ̃tˈe]
et | and | [ˈe]
excusez | excuse | [ɛkskyzˈe]
félicitations | congratulations | [felisitasjˈɔ̃]
j'arrive | i'm coming | [ʒaʁˈiv]
je | I | [ʒˈə-]
journée | day | [ʒuʁnˈe]
joyeux | merry / joyful | [ʒwajˈø]
mal | bad | [mˈal]
merci | thank you | [mɛʁsˈi]
mieux | better | [mjˈø]
moi | me | [mwˈa]
moment | moment | [momˈɑ̃]
ne | not (negation particle) | [nˈə-]
non | no | [nˈɔ̃]
noël | christmas | [nɔˈɛl]
nuit | night | [nyˈi]
oui | yes | [wˈi]
pardon | sorry / pardon | [paʁdˈɔ̃]
pas | not | [pˈa]
peut | can / maybe | [pˈø]
pis | worse / too bad | [pˈi]
plaisir | pleasure | [plɛzˈiʁ]
plaît | please | [plˈɛ]
revoir | goodbye | [ʁəvwˈaʁ]
rien | nothing | [ʁiˈɛ̃]
s'il | if | [sˈil]
sais | know | [sˈɛ]
salut | hi / bye (informal) | [salˈy]
santé | health / cheers | [sɑ̃tˈe]
seconde | second | [səɡˈɔ̃d]
soirée | evening | [swaʁˈe]
tant | so much | [tˈɑ̃]
toi | you (informal) | [twˈa]
tout | all / everything | [tˈu]
très | very | [tʁˈɛ]
un | a / one (m) | [ˈœ̃]
une | a / one (f) | [ˈyn]
va | goes / is going | [vˈa]
voilà | there it is / there you go | [vwalˈa]
volontiers | gladly / willingly | [volɔ̃tjˈe]
vous | you (formal/plural) | [vˈu]
voyage | trip / journey | [vwajˈaʒ]
y | there | [iɡʁˈɛk]
à | to / at | [ˈa]
ça | that / it | [sˈa]
être | maybe | [ˈɛtʁ]
