# Complete German Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1399

ab | from | [ˈap]
abend | evening | [ˈɑːbənt]
abendessen | dinner | [ˈɑːbəndˌɛsən]
abends | in the evenings | [ˈɑːbənts]
abenteuer | adventure | [ˈɑbəntˌɔøɜ]
aber | but | [ˈɑːbɜ]
abfragen | query | [ˈapfrˌɑːɡən]
abgedeckt | covered | [ˈapɡədˌɛkt]
abgeschlossen | completed | [ˈapɡəʃlˌɔsən]
abhebungsgebühren | withdrawal fees | [ˈaphˌeːbʊŋsɡəbˌyːrən]
abrupt | abrupt | [ˈaprˌʊpt]
abschließen | to conclude | [ˈapʃlˌiːsən]
absicht | intention | [ˈapzˌɪçt]
abzusteigen | to descend | [ˈaptsuːʃtˌaɪɡən]
achtung | attention | [ˈaxtʊŋ]
akzeptiert | accepted | [ˌaktsɛptˈiːɾt]
all | all | [ˈal]
alle | all | [ˈalə]
allein | alone | [alˈaɪn]
alleine | alone | [alˈaɪnə]
allergisch | allergic | [ˈalɜɡˌɪʃ]
alles | everything | [ˈaləs]
alpen | Alps | [ˈalpən]
alpendorf | alpine village | [ˈalpəndˌɔɾf]
als | as | [ˈals]
alte | old | [ˈaltə]
alten | old | [ˈaltən]
altes | old | [ˈaltəs]
andere | other | [ˈandərə]
anderer | other | [ˈandərɜ]
anderes | other | [ˈandərəs]
anders | different | [ˈandɜs]
anfangen | to start | [ˈanfˌaŋən]
angebot | offer | [ˈanɡəbˌoːt]
angebotene | offered | [ˈanɡəbˌoːtənə]
angekommen | arrived | [ˈanɡəkˌɔmən]
angeschaut | looked at | [ˈanɡəʃˌaʊt]
angespannt | tense | [ˈanɡəʃpˌant]
angespannter | tenser | [ˈanɡəʃpˌantɜ]
angestellte | employee | [ˈanɡəʃtˌɛltə]
angezündet | ignited | [ˈanɡətsˌʏndət]
angst | fear | [ˈaŋst]
ankunft | arrival | [ˈankˌʊnft]
anprobieren | to try on | [ˈanproːbˌiːrən]
ans | to the | [ˈans]
anspruch | claim | [ˈanʃprˌʊx]
antwortet | responds | [ˈantvɔɾtət]
anzufassen | to touch | [ˈantsuːfˌasən]
anzünden | to ignite | [ˈantsˌʏndən]
anzündet | ignites | [ˈantsˌʏndət]
apotheke | pharmacy | [ˈɑpɔthˌeːkə]
appetit | appetite | [ˌapeːtˈɪt]
arbeit | work | [ˈaɾbaɪt]
arrangiert | arranged | [ˌaraŋʒˈiːət]
arzt | doctor | [ˈaɾtst]
atmet | breathes | [ˈatmət]
auch | also | [ˈaʊx]
auf | on | [ˈaʊf]
aufbricht | sets off | [ˈaʊfbrˌɪçt]
aufgehende | rising | [ˈaʊfɡˌeːəndə]
aufgehenden | rising | [ˈaʊfɡˌeːəndən]
aufgeregt | excited | [ˈaʊfɡərˌeːkt]
aufmerksam | attentive | [ˈaʊfmˌɛɾkzɑːm]
aufnimmt | absorbs | [ˈaʊfnˌɪmt]
aufrecht | upright | [ˈaʊfrˌɛçt]
aufregung | excitement | [ˈaʊfrˌeːɡʊŋ]
aufstiegsmöglichkeiten | career opportunities | [ˈaʊfʃtˌiːksmœklˌɪçkaɪtən]
aufzogen | raised | [ˈaʊftsˌoːɡən]
augen | eyes | [ˈaʊɡən]
augenblicke | moments | [ˈaʊɡənblˌɪkə]
aus | from | [ˈaʊs]
ausbreitet | spreads | [ˈaʊsbrˌaɪtət]
ausführt | executes | [ˈaʊsfˌyːɾt]
ausgestreckt | stretched out | [ˈaʊsɡəʃtɾˌɛkt]
ausgezeichnete | excellent | [ˈaʊsɡətsˌaɪçnətə]
ausrüstung | equipment | [ˈaʊsrˌʏstʊŋ]
aussicht | view | [ˈaʊszˌɪçt]
aussteigt | gets off | [ˈaʊsʃtˌaɪkt]
ausweis | ID | [ˈaʊsvˌaɪs]
authentisch | authentic | [aʊtˈɛntɪʃ]
bahnhof | station | [bˈɑːnhoːf]
bahnsteig | platform | [bˈɑːnstaɪk]
bald | soon | [bˈalt]
bankkarte | debit card | [bˈaŋkaɾtə]
bankkonto | bank account | [baŋkˈɔntoː]
bauchschmerzen | stomach ache | [bˈaʊxʃmɜtsən]
bauern | farmers | [bˈaʊɜn]
bauernhof | farm | [bˈaʊɛɾnhˌoːf]
bedeutet | means | [bədˈɔøtət]
bedeutung | meaning | [bədˈɔøtʊŋ]
bedingung | condition | [bədˈɪŋʊŋ]
begegnen | encounter | [bəɡˈeːɡnən]
begegnungen | encounters | [bəɡˈeːɡnʊŋən]
begeistert | excited | [bəɡˈaɪstɜt]
beginnen | begin | [bəɡˈɪnən]
beginnt | begins | [bəɡˈɪnt]
behalten | keep | [bəhˈaltən]
beherbergt | accommodates | [bəhˈɛɾbɜkt]
bei | at | [bˈaɪ]
beide | both | [bˈaɪdə]
beim | at | [bˈaɪm]
bekommen | receive | [bəkˈɔmən]
beleben | revive | [bəlˈeːbən]
bemerkt | noticed | [bəmˈɛɾkt]
benutzt | used | [bənˈʊtst]
benötigen | need | [bənˈøːtɪɡən]
benötigt | needed | [bənˈøːtɪçt]
beobachtet | observed | [bˌəoːbˈaxtət]
bereit | ready | [bərˈaɪt]
bereitet | prepares | [bərˈaɪtət]
bereithält | keeps ready | [bərˈaɪthɛlt]
bereits | already | [bərˈaɪts]
berg | mountain | [bˈɛɾk]
bergab | downhill | [bˈɛɾɡɑːp]
bergdorf | mountain village | [bˈɛɾɡdɔɾf]
berge | mountains | [bˈɛɾɡə]
bergen | rescue | [bˈɛɾɡən]
berghütte | mountain hut | [bˈɛɾkhʏtə]
bergrettung | mountain rescue | [bˈɛɾɡrɛtˌʊŋ]
