# Portuguese phrases - Level B
# Everyday expressions and questions
# Format: phrase | translation | [ipa]

como você se chama | what's your name | [ipa]
meu nome é | my name is | [ipa]
prazer em conhecer | nice to meet you | [ipa]
você fala inglês | do you speak english | [ipa]
eu falo um pouco | i speak a little | [ipa]
onde fica | where is | [ipa]
quanto custa | how much does it cost | [ipa]
eu gosto de | i like | [ipa]
eu quero | i want | [ipa]
posso ter | can i have | [ipa]
não sei | i don't know | [ipa]
não entendo | i don't understand | [ipa]
pode repetir | can you repeat | [ipa]
mais devagar | slower | [ipa]
que horas são | what time is it | [ipa]
hoje | today | [ipa]
amanhã | tomorrow | [ipa]
ontem | yesterday | [ipa]
agora | now | [ipa]
depois | later | [ipa]
sempre | always | [ipa]
nunca | never | [ipa]
