# Portuguese phrases - Level D
# Food, everyday items, and activities
# Format: phrase | translation | [ipa]

eu gosto de café | i like coffee | [ipa]
água com gás | sparkling water | [ipa]
água sem gás | still water | [ipa]
a comida está deliciosa | the food is delicious | [ipa]
pode trazer a conta | can you bring the bill | [ipa]
aceita cartão de crédito | do you accept credit card | [ipa]
vou comer pão com manteiga | i'll eat bread with butter | [ipa]
gostaria de um café com leite | i would like a coffee with milk | [ipa]
onde posso comprar | where can i buy | [ipa]
está muito caro | it's too expensive | [ipa]
tem desconto | is there a discount | [ipa]
vou à praia no fim de semana | i'm going to the beach on the weekend | [ipa]
o tempo está muito bom | the weather is very good | [ipa]
está fazendo calor | it's hot | [ipa]
está fazendo frio | it's cold | [ipa]
preciso ir embora | i need to leave | [ipa]
até mais tarde | see you later | [ipa]
tenha um bom dia | have a good day | [ipa]
boa viagem | have a good trip | [ipa]
feliz aniversário | happy birthday | [ipa]
