Je suis perdu | I'm lost (m) | [ʒə sɥi pɛʁdy]
Je suis perdue | I'm lost (f) | [ʒə sɥi pɛʁdy]
Pouvez-vous m'indiquer le chemin? | Can you show me the way? | [puve vu mɛ̃dike lə ʃəmɛ̃]
Je cherche la gare | I'm looking for the train station | [ʒə ʃɛʁʃ la ɡaʁ]
Où est l'arrêt de bus? | Where is the bus stop? | [u ɛ laʁɛ də bys]
Un billet pour Paris, s'il vous plaît | A ticket to Paris, please | [œ̃ bijɛ puʁ paʁi sil vu plɛ]
Aller simple ou aller-retour? | One-way or round-trip? | [ale sɛ̃pl u ale ʁətuʁ]
À quelle heure part le train? | What time does the train leave? | [a kɛl‿œʁ paʁ lə tʁɛ̃]
Le train est en retard | The train is late | [lə tʁɛ̃ ɛt‿ɑ̃ ʁətaʁ]
C'est direct? | Is it direct? | [sɛ diʁɛkt]
Je dois changer où? | Where do I need to change? | [ʒə dwa ʃɑ̃ʒe u]
Avez-vous une chambre disponible? | Do you have a room available? | [ave vu yn ʃɑ̃bʁ dispɔnibl]
Pour combien de nuits? | For how many nights? | [puʁ kɔ̃bjɛ̃ də nɥi]
Quel est le prix par nuit? | What is the price per night? | [kɛl‿ɛ lə pʁi paʁ nɥi]
Le petit-déjeuner est inclus? | Is breakfast included? | [lə pəti deʒøne ɛt‿ɛ̃kly]
À quelle heure est le petit-déjeuner? | What time is breakfast? | [a kɛl‿œʁ ɛ lə pəti deʒøne]
Pouvez-vous me réveiller à sept heures? | Can you wake me at seven o'clock? | [puve vu mə ʁeveje a sɛt‿œʁ]
La clé ne fonctionne pas | The key doesn't work | [la kle nə fɔ̃ksjɔn pa]
Il n'y a pas d'eau chaude | There's no hot water | [il ni a pa do ʃod]
La climatisation ne marche pas | The air conditioning doesn't work | [la klimatizasjɔ̃ nə maʁʃ pa]
Une table pour deux personnes | A table for two people | [yn tabl puʁ dø pɛʁsɔn]
Avez-vous un menu en anglais? | Do you have a menu in English? | [ave vu œ̃ məny ɑ̃n‿ɑ̃ɡlɛ]
Qu'est-ce que vous recommandez? | What do you recommend? | [kɛs kə vu ʁəkɔmɑ̃de]
Je suis végétarien | I'm vegetarian (m) | [ʒə sɥi veʒetaʁjɛ̃]
Je suis végétarienne | I'm vegetarian (f) | [ʒə sɥi veʒetaʁjɛn]
Je suis allergique aux arachides | I'm allergic to peanuts | [ʒə sɥi‿alɛʁʒik o‿aʁaʃid]
Sans gluten, s'il vous plaît | Gluten-free, please | [sɑ̃ ɡlytɛn sil vu plɛ]
L'addition, s'il vous plaît | The bill, please | [ladisjɔ̃ sil vu plɛ]
Est-ce que le service est compris? | Is service included? | [ɛs kə lə sɛʁvis ɛ kɔ̃pʁi]
Je peux payer par carte? | Can I pay by card? | [ʒə pø peje paʁ kaʁt]
Gardez la monnaie | Keep the change | [ɡaʁde la mɔnɛ]
Où puis-je acheter...? | Where can I buy...? | [u pɥiʒ aʃte]
Est-ce que je peux essayer? | Can I try it on? | [ɛs kə ʒə pø‿ɛseje]
Avez-vous une taille plus grande? | Do you have a larger size? | [ave vu yn taj ply ɡʁɑ̃d]
Avez-vous une autre couleur? | Do you have another color? | [ave vu yn‿otʁ kulœʁ]
C'est en solde? | Is it on sale? | [sɛt‿ɑ̃ sɔld]
Acceptez-vous les cartes bancaires? | Do you accept credit cards? | [aksɛpte vu le kaʁt bɑ̃kɛʁ]
Pouvez-vous faire un paquet-cadeau? | Can you gift-wrap it? | [puve vu fɛʁ œ̃ pakɛ kado]
J'ai besoin d'un médecin | I need a doctor | [ʒɛ bəzwɛ̃ dœ̃ medsɛ̃]
Où est la pharmacie la plus proche? | Where is the nearest pharmacy? | [u ɛ la faʁmasi la ply pʁɔʃ]
J'ai mal à la tête | I have a headache | [ʒɛ mal a la tɛt]
J'ai mal au ventre | I have a stomachache | [ʒɛ mal o vɑ̃tʁ]
J'ai de la fièvre | I have a fever | [ʒɛ də la fjɛvʁ]
Je tousse beaucoup | I'm coughing a lot | [ʒə tus boku]
Je me sens mal | I feel sick | [ʒə mə sɑ̃ mal]
J'ai besoin d'une ordonnance | I need a prescription | [ʒɛ bəzwɛ̃ dyn‿ɔʁdɔnɑ̃s]
Où est le commissariat? | Where is the police station? | [u ɛ lə kɔmisaʁja]
On m'a volé mon sac | My bag was stolen | [ɔ̃ ma vɔle mɔ̃ sak]
J'ai perdu mon passeport | I lost my passport | [ʒɛ pɛʁdy mɔ̃ paspɔʁ]
Pouvez-vous appeler la police? | Can you call the police? | [puve vu‿aple la pɔlis]
