# Portuguese words from phr-01.txt
# Level: D
# Total unique words: 55
#
# Format: word | translation | [ipa]
# One word per line
#

a | the | [ˈa]
aceita | accepted | [ˌasˈeɪtæ]
aniversário | birthday | [ˌæniveɾəsˈaɾjʊ]
até | until | [atˈɛ]
boa | good | [bˈoæ]
bom | good | [bˈoŋ]
café | coffee | [kafˈɛ]
calor | heat | [kalˈor]
caro | expensive | [kˈaɾʊ]
cartão | card | [kaɾətˈɐ̃ʊ̃]
com | with | [kˈoŋ]
comer | eat | [komˈer]
comida | food | [kˌomˈidæ]
comprar | buy | [komprˈar]
conta | account | [kˈoŋtæ]
crédito | credit | [krˈɛdʒitʊ]
de | of | [dʒˈy]
deliciosa | delicious | [dˌelisiˈɔzæ]
desconto | discount | [dˌeskˈoŋtʊ]
dia | day | [dʒˈiæ]
embora | although | [ˌeɪmbˈɔɾæ]
está | this | [estˈa]
eu | I | [ˈeʊ]
fazendo | doing | [fˌazˈeɪŋdʊ]
feliz | happy | [felˈis]
fim | end | [fˈiŋ]
frio | cold | [frˈiʊ]
gostaria | I would like | [ɡˌostaɾˈiæ]
gosto | I like | [ɡˈostʊ]
gás | gas | [ɡˈas]
ir | go | [ˈir]
leite | milk | [lˈeɪtʃy]
mais | more | [mˈaɪs]
manteiga | butter | [mˌɐ̃ŋtˈeɪɡæ]
muito | very | [mwˈiŋtʊ]
no | node | [nˈʊ]
o | the | [ˈɔ]
onde | where | [ˈoŋdʒy]
pode | he can | [pˈɔdʒy]
posso | can I | [pˈɔsʊ]
praia | beach | [prˈaɪæ]
preciso | necessary | [prˌesˈizʊ]
pão | bread | [pˈɐ̃ʊ̃]
sem | without | [sˈeɪŋ]
semana | week | [sˌemˈɐ̃næ]
tarde | afternoon | [tˈaɾədʒy]
tem | he has | [tˈeɪŋ]
tempo | time | [tˈeɪmpʊ]
tenha | you have | [tˈeɲæ]
trazer | to bring | [trazˈer]
um | one | [ˈũŋ]
viagem | trip | [vˌiˈaʒeɪŋ]
vou | I go | [vˈow]
à | the | [ˌaɡrˈavi]
água | water | [ˈaɡwæ]
