# Complete Spanish Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1998

abajo | [aβˈaxo]
abandonada | [ˌaβandonˈaða]
abandonarla | [ˌaβandonˈaɾla]
abrazados | [ˌaβɾaθˈaðos]
abrazan | [aβɾˈaθan]
abre | [ˈaβɾe]
abrigada | [ˌaβɾiɣˈaða]
abrigado | [ˌaβɾiɣˈaðo]
abrigador | [ˌaβɾiɣaðˈɔɾ]
abrigo | [aβɾˈiɣo]
abrir | [aβɾˈiɾ]
absorbe | [aβsˈɔɾβe]
abuela | [aβwˈela]
acabamos | [ˌakaβˈamos]
accept | [akθˈepːt]
account | [akkˈownt]
aceptan | [aθˈepːtan]
aceptemos | [ˌaθepːtˈemos]
acerca | [aθˈɛɾka]
acercan | [aθˈɛɾkan]
aclara | [aklˈaɾa]
acogedor | [ˌakoxeðˈɔɾ]
acondicionado | [ˌakɔndˌiθjonˈaðo]
aconseja | [ˌakɔnsˈexa]
acuerdo | [akwˈɛɾðo]
address | [adðɾˈess]
adiós | [aðjˈɔs]
admirando | [ˌadmiɾˈando]
adoro | [aðˈɔɾɔ]
advancement | [ˌaðβanθemˈɛnt]
afortunadamente | [ˌafɔɾtˌunaðamˈɛnte]
afuera | [afwˈɛɾa]
agendar | [ˌaxɛndˈaɾ]
agita | [axˈita]
agotado | [ˌaɣotˈaðo]
agreed | [ˌaɣɾeˈed]
agua | [ˈaɣwa]
ahead | [ˌaeˈad]
ahora | [aˈɔɾa]
ahí | [aˈi]
air | [ˈaɪɾ]
aire | [ˈaɪɾɛ]
ajjˈɛɾ | [ˈa xˈɔta xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es)]
akwˈɛɾðo | [ˈa kˈa ˌuβe ðˈɔβle (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es) dˈe ˈo]
akˈi | [ˈa kˈa (en)stɹˈɛs(es) ˈi]
al | [ˈal]
albergado | [ˌalβɛɾɣˈaðo]
aleja | [alˈexa]
algo | [ˈalɣo]
alguien | [ˈalɣjɛn]
alguna | [alɣˈuna]
algunas | [alɣˈunas]
algún | [alɣˈun]
alimentación | [ˌalimˌɛntaθjˈɔn]
alimentan | [ˌalimˈɛntan]
aliviada | [ˌaliβjˈaða]
alivio | [alˈiβjo]
all | [ˈaʎ]
allergic | [ˌaʎɛɾxˈik]
allá | [aʎˈa]
allí | [aʎˈi]
alpino | [alpˈino]
alquilar | [ˌalkilˈaɾ]
alquiler | [ˌalkilˈɛɾ]
already | [ˌalreˈaði]
alrededor | [ˌalreðeðˈɔɾ]
alrededores | [ˌalreðeðˈɔɾɛs]
always | [alwˈaɪs]
alérgico | [alˈɛɾxiko]
alɣˈun | [ˈa ˈɛle (en)ɡˈamə stɹˈɛs(es) ˈu ˈɛne]
alɣˈuna | [ˈa ˈɛle (en)ɡˈamə stɹˈɛs(es) ˈu ˈɛne ˈa]
alˈɛɾxiko | [ˈa ˈɛle (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es) ˈɛkis ˈi kˈa ˈo]
am | [ˈam]
amabilidad | [ˌamaβˌiliðˈad]
amable | [amˈaβle]
amanecer | [ˌamaneθˈɛɾ]
ambos | [ˈambos]
amenazante | [ˌamenaθˈante]
amor | [amˈɔɾ]
amount | [amˈownt]
an | [ˈan]
anciano | [anθjˈano]
and | [ˈand]
andén | [andˈɛn]
angustia | [aŋɡˈustja]
animal | [ˌanimˈal]
animales | [ˌanimˈales]
animarse | [ˌanimˈaɾse]
anoche | [anˈotʃe]
another | [ˌanotˈɛɾ]
anterior | [ˌantɛɾjˈɔɾ]
antes | [ˈantes]
antiguos | [antˈiɣwos]
anuncia | [anˈunθja]
anunciación | [ˌanunθjaθjˈɔn]
anuncio | [anˈunθjo]
aparece | [ˌapaɾˈɛθe]
apartamento | [ˌapaɾtamˈɛnto]
apartment | [ˌapaɾtmˈɛnt]
apenas | [apˈenas]
appointment | [ˌappoɪntmˈɛnt]
aprendido | [ˌapɾɛndˈiðo]
aprendió | [ˌapɾɛndjˈɔ]
aquí | [akˈi]
arde | [ˈaɾðe]
are | [ˈaɾɛ]
aroma | [aɾˈɔma]
arregla | [arˈeɣla]
arreglármelas | [ˌareɣlˈaɾmelas]
arrepentimientos | [ˌarepˌɛntimjˈɛntos]
arrepentirnos | [ˌarepɛntˈiɾnos]
arriba | [arˈiβa]
arrugadas | [ˌaruɣˈaðas]
ascenso | [asθˈɛnso]
asco | [ˈasko]
asientos | [asjˈɛntos]
asustado | [ˌasustˈaðo]
así | [asˈi]
asˈi | [ˈa ˈɛse (en)stɹˈɛs(es) ˈi]
asθˈɛnso | [ˈa ˈɛse (en)θˈiːtə stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne ˈɛse ˈo]
at | [ˈat]
atentamente | [ˌatɛntamˈɛnte]
aterriza | [ˌatɛrˈiθa]
aterrizó | [ˌatɛriθˈɔ]
atm | [ˈatm]
atocha | [atˈotʃa]
atraviesa | [ˌatɾaβjˈesa]
atrevo | [atɾˈeβo]
atrás | [atɾˈas]
aumentar | [ˌaʊmɛntˈaɾ]
aunque | [ˈaʊnke]
authorization | [ˌaʊtɔɾiθˈatjɔn]
autobús | [ˌaʊtoβˈus]
automático | [ˌaʊtomˈatiko]
autorización | [ˌaʊtɔɾˌiθaθjˈɔn]
auténtica | [aʊtˈɛntika]
auxilios | [aʊksˈiljos]
availability | [ˌaβaɪlˌaβilˈiti]
available | [ˌaβaɪlˈaβle]
avanza | [aβˈanθa]
avanzamos | [ˌaβanθˈamos]
ave | [ˈaβe]
aventura | [ˌaβɛntˈuɾa]
avisado | [ˌaβisˈaðo]
avisaste | [ˌaβisˈaste]
ayer | [ajjˈɛɾ]
ayuda | [ajjˈuða]
ayudar | [ˌajjuðˈaɾ]
ayudarme | [ˌajjuðˈaɾme]
ayudaron | [ˌajjuðˈaɾɔn]
ayudará | [ˌajjuðaɾˈa]
ayudó | [ˌajjuðˈɔ]
azul | [aθˈul]
azúcar | [aθˈukaɾ]
aðjˈɔs | [ˈa ðˈe xˈɔta (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛse]
añade | [aɲˈaðe]
año | [ˈaɲo]
aún | [aˈun]
aʎˈa | [ˈa (en)tˈɜːndwˈaɪ stɹˈɛs(es) ˈa]
aˈi | [ˈa (en)stɹˈɛs(es) ˈi]
aˈun | [ˈa (en)stɹˈɛs(es) ˈu ˈɛne]
aˈɔɾa | [ˈa (en)stɹˈɛs ˌəʊpənˈɔː ˈɑːtap(es) ˈa]
aβlˈaɾ | [ˈa (en)bˈiːtə(es) ˈɛle (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
aβɾˈiɾ | [ˈa (en)bˈiːtə ˈɑːtap stɹˈɛs(es) ˈi (en)ˈɑːtap(es)]
aθˈepːtan | [ˈa (en)θˈiːtə stɹˈɛs(es) ˈe pˈe (en)lˈɛŋθənd(es) tˈe ˈa ˈɛne]
aθˈɛɾ | [ˈa (en)θˈiːtə stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es)]
bad | [bˈad]
bag | [bˈaɡ]
baja | [bˈaxa]
bajan | [bˈaxan]
bajando | [baxˈando]
bajar | [baxˈaɾ]
baje | [bˈaxe]
bajo | [bˈaxo]
bala | [bˈala]
