Ich habe mich verirrt | I'm lost (m) | [ɪç hɑːbə mɪç fɛɾˈɪɾt]
Ich habe mich verirrt | I'm lost (f) | [ɪç hɑːbə mɪç fɛɾˈɪɾt]
Können Sie mir den Weg zeigen? | Can you show me the way? | [kˌœnən ziː miːɾ deːn vˈeːk tsˈaɪɡən]
Ich suche den Bahnhof | I'm looking for the train station | [ɪç zˈuːxə deːn bˈɑːnhoːf]
Wo ist die Bushaltestelle? | Where is the bus stop? | [vˌoː ɪst diː bˈʊshaltˌɛʃtɛlə]
Ein Ticket nach Paris, bitte | A ticket to Paris, please | [aɪn tˈɪkət nɑːx pˈɑrɪs
 bˈɪtə]
Einfache Fahrt oder Hin- und Rückfahrt? | One-way or round-trip? | [ˈaɪnfˌaxə fˈɑːɾt ˌoːdɜ hˈɪn ʊnt rˈʏkfɑːɾt]
Wann fährt der Zug ab? | What time does the train leave? | [vˈan fˈɛːɾt dɛɾ tsˈuːk ˈap]
Der Zug ist verspätet | The train is late | [dɛɾ tsˈuːk ɪst fɛɾʃpˈɛːtət]
Ist es eine Direktverbindung? | Is it direct? | [ɪst ɛs ˌaɪnə dˈiːrɛktfɛɾbˌɪndʊŋ]
Wo muss ich umsteigen? | Where do I need to change? | [vˌoː mˈʊs ɪç ˈʊmʃtˌaɪɡən]
Haben Sie ein freies Zimmer? | Do you have a room available? | [hˌɑːbən ziː aɪn frˈaɪəs tsˈɪmɜ]
Für wie viele Nächte? | For how many nights? | [fyːɾ viː fˈiːlə nˈɛçtə]
Wie viel kostet die Nacht? | What is the price per night? | [viː fˈiːl kˈɔstət diː nˈaxt]
Ist das Frühstück inbegriffen? | Is breakfast included? | [ɪst das frˈyːʃtʏk ˈɪnbɛɡrˌɪfən]
Um wie viel Uhr gibt es Frühstück? | What time is breakfast? | [ʊm viː fˈiːl ˈuːɾ ɡˈiːpt ɛs frˈyːʃtʏk]
Können Sie mich um sieben Uhr wecken? | Can you wake me at seven o'clock? | [kˌœnən ziː mɪç ʊm zˈiːbən ˈuːɾ vˈɛkən]
Der Schlüssel funktioniert nicht | The key doesn't work | [dɛɾ ʃlˈʏsəl fˌʊŋktsɪˌoːnˈiːɾt nˈɪçt]
Es gibt kein heißes Wasser | There's no hot water | [ɛs ɡˈiːpt kˈaɪn hˈaɪsəs vˈasɜ]
Die Klimaanlage funktioniert nicht | The air conditioning doesn't work | [diː klˈiːmɑːnlˌɑːɡə fˌʊŋktsɪˌoːnˈiːɾt nˈɪçt]
Einen Tisch für zwei Personen, bitte | A table for two people | [ˌaɪnən tˈɪʃ fyːɾ tsvˈaɪ pɛɾzˈoːnən
 bˈɪtə]
Haben Sie eine Speisekarte auf Englisch? | Do you have a menu in English? | [hˌɑːbən ziː ˌaɪnə ʃpˈaɪzeːkˌaɾtə aʊf ˈɛŋlɪʃ]
Was empfehlen Sie? | What do you recommend? | [vˈas ɛmpfˈeːlən ziː]
Ich bin Vegetarier | I'm vegetarian (m) | [ɪç bɪn vˌeːɡeːtˈɑːriːɜ]
Ich bin Vegetarierin | I'm vegetarian (f) | [ɪç bɪn vˌeːɡeːtˈɑriːərˌɪn]
Ich bin allergisch gegen Erdnüsse | I'm allergic to peanuts | [ɪç bɪn ˈalɜɡˌɪʃ ɡˌeːɡən ɛɾdnˈʏsə]
Glutenfrei, bitte | Gluten-free, please | [ɡlˈuːtənfrˌaɪ
 bˈɪtə]
Die Rechnung, bitte | The bill, please | [diː rˈɛçnʊŋ
 bˈɪtə]
Ist der Service inbegriffen? | Is service included? | [ɪst dɛɾ sˈɛɾvɪs ˈɪnbɛɡrˌɪfən]
Kann ich mit Karte zahlen? | Can I pay by card? | [kˌan ɪç mɪt kˈaɾtə tsˈɑːlən]
