# Portuguese words from phr-01.txt
# Level: C
# Total unique words: 48
#
# Format: word | translation | [ipa]
# One word per line
#

ajuda | help | [ˌaʒˈudæ]
ajudar | to help | [ˌaʒudˈar]
amanhã | tomorrow | [ˌæmɐ̃ɲˈɐ̃]
aprendendo | learning | [ˌapreɪŋdˈeɪŋdʊ]
assim | like this | [asˈiŋ]
banheiro | bathroom | [bˌɐ̃ɲˈeɪɾʊ]
bom | good | [bˈoŋ]
caminho | path | [kˌæmˈiɲʊ]
casa | home | [kˈazæ]
certeza | certainty | [sˌeɾətˈezæ]
certo | right | [sˈɛɾətʊ]
com | with | [kˈoŋ]
como | as | [kˈomʊ]
de | of | [dʒˈy]
dormindo | sleeping | [dˌoɾəmˈiŋdʊ]
em | in | [ˈeɪŋ]
estou | I am | [estˈow]
está | this | [estˈa]
eu | I | [ˈeʊ]
fica | he is | [fˈikæ]
foi | he was | [fˈoɪ]
fome | hunger | [fˈomy]
gato | cat | [ɡˈatʊ]
legal | legal | [leɡˈaʊ]
me | me | [mˈy]
mercado | market | [mˌeɾəkˈadʊ]
minha | my | [mˈiɲæ]
muito | very | [mwˈiŋtʊ]
mãe | mother | [mˈɐ̃y]
o | the | [ˈɔ]
onde | where | [ˈoŋdʒy]
para | to | [pˈaɾæ]
pode | he can | [pˈɔdʒy]
português | Portuguese | [pˌoɾətuɡˈes]
preciso | necessary | [prˌesˈizʊ]
problema | problem | [prˌoblˈemæ]
qual | which | [kwˈaʊ]
que | what | [kˈy]
sede | thirst | [sˈedʒy]
sem | without | [sˈeɪŋ]
tem | he has | [tˈeɪŋ]
trabalho | work | [trˌabˈaljʊ]
tudo | all | [tˈudʊ]
vamos | let's go | [vˈɐ̃mʊs]
ver | see | [vˈer]
volto | I'll be back | [vˈɔltʊ]
vou | I go | [vˈow]
é | and | [ˌɛaɡˈudʊ]
