Ik ben verdwaald | I'm lost (m) | [ɪk bɛn vərdʋˈaːlt]
Ik ben verdwaald | I'm lost (f) | [ɪk bɛn vərdʋˈaːlt]
Kunt u mij de weg wijzen? | Can you show me the way? | [kɵnt y mˈɛɪ də ʋˈɛx ʋˈɛɪzən]
Ik zoek het treinstation | I'm looking for the train station | [ɪk zˈuk hə trˌɛɪnstaːʃˈɔn]
Waar is de bushalte? | Where is the bus stop? | [ʋˈaːr ɪs də bˈɵshɑltə]
Een kaartje naar Parijs, alstublieft | A ticket to Paris, please | [ən kˈaːrtʲə naːr paːrˈɛɪs
 ˌɑlstɵblˈift]
Enkele reis of retour? | One-way or round-trip? | [ˈɛŋkələ rˈɛɪs ɔf rˈeːtuːr]
Hoe laat vertrekt de trein? | What time does the train leave? | [hˈu lˈaːt vərtrˈɛk tə trˈɛɪn]
De trein is vertraagd | The train is late | [də trˈɛɪn ɪs vərtrˈaːxt]
Is het een directe verbinding? | Is it direct? | [ɪs hət ˈeːn dˈirɛktə vərbˈɪndɪŋ]
Waar moet ik overstappen? | Where do I need to change? | [ʋˈaːr mˈut ɪk ˌoːvərstˈɑpən]
Heeft u een kamer vrij? | Do you have a room available? | [heːft y ən kˈaːmər vrˈɛɪ]
Voor hoeveel nachten? | For how many nights? | [vɔːr huvˈeːl nˈɑxtən]
Wat is de prijs per nacht? | What is the price per night? | [ʋɑt ɪs də prˈɛɪs pˈɛr nˈɑxt]
Is het ontbijt inbegrepen? | Is breakfast included? | [ɪs hət ɔntbˈɛɪt ˈɪnbəɣrˌeːpən]
Hoe laat is het ontbijt? | What time is breakfast? | [hˈu lˈaːt ɪs hət ɔntbˈɛɪt]
Kunt u mij om zeven uur wekken? | Can you wake me at seven o'clock? | [kɵnt y mˈɛɪ ɔm zˈeːvən ˈyr ʋˈɛkən]
De sleutel werkt niet | The key doesn't work | [də slˈøːtəl ʋˈɛrkt nˈit]
Er is geen warm water | There's no hot water | [ər ɪs ɣˈeːn ʋˈɑrm ʋˈaːtər]
De airconditioning werkt niet | The air conditioning doesn't work | [də ˈɑjrkɔndˌiʃoːnˌɪŋ ʋˈɛrkt nˈit]
Een tafel voor twee personen | A table for two people | [ən tˈaːfəl vɔːr tʋˈeː pɛrsˈɔnən]
Heeft u een menu in het Engels? | Do you have a menu in English? | [heːft y ən mənˈy ɪn hət ˈɛŋəls]
Wat raadt u aan? | What do you recommend? | [ʋɑt rˈaːt y ˈaːn]
Ik ben vegetariër | I'm vegetarian (m) | [ɪk bɛn vˈeːɣətˌaːriər]
Ik ben vegetariër | I'm vegetarian (f) | [ɪk bɛn vˈeːɣətˌaːriər]
Ik ben allergisch voor pinda's | I'm allergic to peanuts | [ɪk bɛn ɑlˈɛrɣis vɔːr pˈɪndaːs]
Glutenvrij, alstublieft | Gluten-free, please | [ɣlˌytənvrˈɛɪ
 ˌɑlstɵblˈift]
De rekening, alstublieft | The bill, please | [də rˈeːkənˌɪŋ
 ˌɑlstɵblˈift]
Is de service inbegrepen? | Is service included? | [ɪs də sˈɵvəs ˈɪnbəɣrˌeːpən]
Kan ik met een kaart betalen? | Can I pay by card? | [kɑn ɪk mɛt ən kˈaːrt bətˈaːlən]
Houd het wisselgeld | Keep the change | [hˈʌʊt hət ʋˈɪsɛlɣəlt]
Waar kan ik... kopen? | Where can I buy...? | [ʋˈaːr kɑn ɪk
 kˈoːpən]
Kan ik dit passen? | Can I try it on? | [kɑn ɪk dɪt pˈɑsən]
Heeft u een grotere maat? | Do you have a larger size? | [heːft y ən ɣrˈoːtərə mˈaːt]
Heeft u een andere kleur? | Do you have another color? | [heːft y ən ˈɑndərə klˈøːr]
Is het in de aanbieding? | Is it on sale? | [ɪs hət ɪn də ˈaːnbˌidɪŋ]
Accepteert u creditcards? | Do you accept credit cards? | [ˌɑksɛptˈɪrt y krˈeːdɪtkˌɑrts]
Kunt u het als cadeau inpakken? | Can you gift-wrap it? | [kɵnt y hət ɑls kaːdˈoː ˈɪnpˌɑkən]
Ik heb een dokter nodig | I need a doctor | [ɪk hɛp ən dˈɔktər nˈoːdəx]
Waar is de dichtstbijzijnde apotheek? | Where is the nearest pharmacy? | [ʋˈaːr ɪs də dˈɪxtstbɛɪzˌɛɪndə ˌaːpɔtˈeːk]
Ik heb hoofdpijn | I have a headache | [ɪk hɛp hoːvdpˈɛɪn]
Ik heb buikpijn | I have a stomachache | [ɪk hɛ pœykpˈɛɪn]
Ik heb koorts | I have a fever | [ɪk hɛp kˈɔːrts]
Ik hoest veel | I'm coughing a lot | [ɪk hˈust vˈeːl]
Ik voel me ziek | I feel sick | [ɪk vˈul mə zˈik]
Ik heb een recept nodig | I need a prescription | [ɪk hɛp ən rəsˈɛpt nˈoːdəx]
Waar is het politiebureau? | Where is the police station? | [ʋˈaːr ɪs hət poːlˈitsibyrˌoː]
Mijn tas is gestolen | My bag was stolen | [mɛɪn tˈɑs ɪs ɣəstˈoːlən]
Ik ben mijn paspoort kwijt | I lost my passport | [ɪk bɛn mɛɪn pˈɑspɔːrt kʋˈɛɪt]
Kunt u de politie bellen? | Can you call the police? | [kɵnt y də poːlˈitsi bˈɛlən]
