(fr, en)
How are you? (informal) | Comment ça va? | [hˈaʊ ɑː juː ɪnfˈɔːməl]
How are you? (formal) | Comment allez-vous? | [hˈaʊ ɑː juː fˈɔːməl]
My name is... | Je m'appelle... | [maɪ nˈeɪm ɪz]
What is your name? (formal) | Quel est votre nom? | [wˌɒt ɪz jɔː nˈeɪm fˈɔːməl]
What's your name? (informal) | Tu t'appelles comment? | [wˌɒts jɔː nˈeɪm ɪnfˈɔːməl]
I come from... | Je viens de... | [aɪ kˈʌm fɹɒm]
I am English (m) | Je suis anglais | [aɪɐm ˈɪŋɡlɪʃ ˈɛm]
I am English (f) | Je suis anglaise | [aɪɐm ˈɪŋɡlɪʃ ˈɛf]
I live in London | J'habite à Londres | [aɪ lˈɪv ɪn lˈʌndən]
Do you speak English? | Parlez-vous anglais? | [dˈuː juː spˈiːk ˈɪŋɡlɪʃ]
I speak a little French | Je parle un peu français | [aɪ spˈiːk ɐ lˈɪtəl fɹˈɛntʃ]
I don't speak French | Je ne parle pas français | [aɪ dˈəʊnt spˈiːk fɹˈɛntʃ]
I don't understand | Je ne comprends pas | [aɪ dˈəʊnt ˌʌndəstˈand]
Can you repeat? | Pouvez-vous répéter? | [kan juː ɹɪpˈiːt]
Can you speak more slowly? | Pouvez-vous parler plus lentement? | [kan juː spˈiːk mˈɔː slˈəʊli]
How do you say... in French? | Comment dit-on... en français? | [hˌaʊ dˈuː juː sˈeɪ ɪn fɹˈɛntʃ]
What is this? | Qu'est-ce que c'est? | [wˌɒt ɪz ðˈɪs]
What does that mean? | Qu'est-ce que ça veut dire? | [wˌɒt dˈʌz ðat mˈiːn]
Where are the toilets? | Où sont les toilettes? | [wˌeəɹ ɑː ðə tˈɔɪləts]
Where is...? | Où est...? | [wˈeəɹ ɪz]
Where is it? | C'est où? | [wˈeəɹ ɪz ɪt]
Is it far? | C'est loin? | [ɪz ɪt fˈɑː]
It's near | C'est près | [ɪts nˈiə]
To the left | À gauche | [tə ðə lˈɛft]
To the right | À droite | [tə ðə ɹˈaɪt]
Straight ahead | Tout droit | [stɹˈeɪt ɐhˈɛd]
Here | Ici | [hˈiə]
Over there | Là-bas | [ˌəʊvə ðˈeə]
Opposite | En face | [ˈɒpəsˌɪt]
Next to | À côté de | [nˈɛkst tuː]
How much does it cost? | Combien ça coûte? | [hˌaʊ mˈʌtʃ dˈʌz ɪt kˈɒst]
How much is it? | C'est combien? | [hˌaʊ mˈʌtʃ ɪz ɪt]
It's too expensive | C'est trop cher | [ɪts tˈuː ɛkspˈɛnsɪv]
Do you have...? | Avez-vous...? | [dˈuː juː hˈav]
I would like... | Je voudrais... | [aɪ wʊd lˈaɪk]
I'm looking for... | Je cherche... | [aɪm lˈʊkɪŋ fɔː]
I need... | J'ai besoin de... | [aɪ nˈiːd]
Can you help me? | Pouvez-vous m'aider? | [kan juː hˈɛlp mˌiː]
What time is it? | Quelle heure est-il? | [wˌɒt tˈaɪm ɪz ɪt]
What time is it? (informal) | Il est quelle heure? | [wˌɒt tˈaɪm ɪz ɪt ɪnfˈɔːməl]
At what time? | À quelle heure? | [at wɒt tˈaɪm]
Today | Aujourd'hui | [tədˈeɪ]
Tomorrow | Demain | [təmˈɒɹəʊ]
Yesterday | Hier | [jˈɛstədˌeɪ]
Now | Maintenant | [nˈaʊ]
Later | Plus tard | [lˈeɪtə]
Soon | Bientôt | [sˈuːn]
Already | Déjà | [ɔːlɹˈɛdi]
Not yet | Pas encore | [nˌɒt jˈɛt]
Always / Still | Toujours | [ˈɔːlweɪz slˈaʃ stˈɪl]
