Ja | Yes | [ja]
Nein | No | [naɪn]
Danke | Thank you | [daŋkə]
Hallo | Hello / Good day | [halo]
Guten Abend | Good evening | [ˈɡuːtn̩ ˈaːbənt]
Auf Wiedersehen | Goodbye | [aʊf ˈviːdɐˌzeːən]
Tschüss | Hi / Bye (informal) | [tʃʏs]
Bitte | Please (formal) | [ˈbɪtə]
Entschuldigen Sie | Excuse me | [ɛntˈʃʊldɪɡn̩ ziː]
Entschuldigung | Sorry / Pardon | [ɛntˈʃʊldɪɡʊŋ]
Es geht | It's okay / I'm fine | [ɛs ɡeːt]
Ja, es geht | Yes, I'm fine | [ja ɛs ɡeːt]
Und Ihnen? | And you? (formal) | [ʊnt ˈiːnən]
Und dir? | And you? (informal) | [ʊnt diːr]
Keine Ursache | You're welcome | [ˈkaɪnə ˈʊɐ̯zaχə]
Schönen Tag | Have a good day | [ˈʃøːnən taːk]
Schönen Abend | Have a good evening | [ˈʃøːnən ˈaːbənt]
Gute Nacht | Good night | [ˈɡuːtə naχt]
Bis bald | See you soon | [bɪs bald]
Bis morgen | See you tomorrow | [bɪs ˈmɔrɡn̩]
Einverstanden | Okay / Agreed | [ˈaɪnfɛɐ̯ˌʃtantən]
Gut | Good / Well | [ɡuːt]
Sehr gut | Very good | [zeːɐ̯ ɡuːt]
Nicht schlecht | Not bad | [nɪçt ʃlɛçt]
Es geht so | So-so | [ɛs ɡeːt zoː]
Ich weiß nicht | I don't know | [ɪç vaɪs nɪçt]
Vielleicht | Maybe | [fiːɐ̯ˈlaɪçt]
Da ist es | Here it is / There you go | [da ɪst ɛs]
Auf geht's | Let's go | [aʊf ɡeːts]
Achtung | Watch out / Careful | [ˈaxtʊŋ]
Willkommen | Welcome | [vɪlˈkɔmən]
Glückwunsch | Congratulations | [ˈɡlʏkˌvʊnʃ]
Guten Appetit | Enjoy your meal | [ˈɡuːtn̩ aˈpeːtiːt]
Prost | Cheers / Bless you | [pʁoːst]
Frohe Weihnachten | Merry Christmas | [ˈfʁoːə vaɪˈnaxtn̩]
Frohes neues Jahr | Happy New Year | [ˈfʁoːəs ˈnɔɪ̯əs ˈjaːɐ̯]
Herzlichen Glückwunsch zum Geburtstag | Happy birthday | [hɛʁt͡sˈlɪçn̩ ˈɡlʏkˌvʊnʃ t͡sʊm ɡəˈbʊʁtstaːk]
Viel Glück | Good luck / Hang in there | [fiːl ɡlʏk]
Gute Reise | Have a good trip | [ˈɡuːtə ˈʁaɪ̯zə]
Freut mich | Nice to meet you (m) | [fʁɔɪ̯t mɪç]
Freut mich | Nice to meet you (f) | [fʁɔɪ̯t mɪç]
Mit Vergnügen | With pleasure | [mɪt fɛɐ̯ˈɡnyːɡn̩]
Gerne | Gladly / Willingly | [ˈɡɛʁnə]
Ich komme | I'm coming | [ɪç ˈkɔmə]
Einen Moment | One second | [ˈaɪ̯nən moˈmɛnt]
Einen Moment | One moment | [ˈaɪ̯nən moˈmɛnt]
Das ist gut | It's good / That's fine | [das ɪst ɡuːt]
Das ist alles | That's all | [das ɪst ˈaləs]
Macht nichts | Too bad / Never mind | [maxt nɪçts]
Umso besser | So much the better | [ˈʊmzoː ˈbɛsɐ]
