Come stai? | How are you? (informal) | [kˌome stˈaɪ]
Come sta? | How are you? (formal) | [kˌome stˈa]
Mi chiamo... | My name is... | [mˌɪ kjˈaːmo]
Qual è il tuo nome? | What is your name? (formal) | [kwˈal ˌɛ ˌil tˌʊo nˈoːme]
Come ti chiami? | What's your name? (informal) | [kˌome tˌɪ kjˈaːmɪ]
Vengo da... | I come from... | [vˈeŋɡo dˈa]
Sono inglese | I am English (m) | [sˌono iŋɡlˈeːze]
Sono inglese | I am English (f) | [sˌono iŋɡlˈeːze]
Abito a Londra | I live in London | [ˈabito ˌa lˈondra]
Parli inglese? | Do you speak English? | [pˈaːrlɪ iŋɡlˈeːze]
Parlo un po' di francese | I speak a little French | [pˈaːrlo ˌʊn pˈo dˌɪ frantʃˈeːze]
Non parlo francese | I don't speak French | [nˌon pˈaːrlo frantʃˈeːze]
Non capisco | I don't understand | [nˌon kapˈisko]
Puoi ripetere? | Can you repeat? | [pʊˈɔːɪ ripˈetere]
Puoi parlare più lentamente? | Can you speak more slowly? | [pʊˈɔːɪ parlˈaːre pjˌʊ lˌentamˈente]
Come si dice... in francese? | How do you say... in French? | [kˌome sˌɪ dˈiːtʃe
 ˌin frantʃˈeːze]
Che cos'è questo? | What is this? | [kˌe kosˈɛ kwˈɛsto]
Cosa significa? | What does that mean? | [kˈɔːza siɲˈifika]
Dove sono i bagni? | Where are the toilets? | [dˈoːve sˌono ˌɪ bˈaɲɲɪ]
Dove è...? | Where is...? | [dˈoːve ˈɛ]
Dove si trova? | Where is it? | [dˈoːve sˌɪ trˈɔːva]
È lontano? | Is it far? | [ˌɛ lontˈaːno]
È vicino | It's near | [ˌɛ vitʃˈiːno]
A sinistra | To the left | [ˌa sinˈistra]
A destra | To the right | [ˌa dˈɛstra]
Dritto | Straight ahead | [drˈitːo]
Qui | Here | [kwˈi]
Là | Over there | [lˈa]
Di fronte | Opposite | [dˌɪ frˈonte]
Accanto a | Next to | [akːˈanto ˈaː]
Quanto costa? | How much does it cost? | [kwˈanto kˈɔsta]
Quanto costa? | How much is it? | [kwˈanto kˈɔsta]
È troppo caro | It's too expensive | [ˌɛ trˈɔpːo kˈaːro]
Hai...? | Do you have...? | [ˈaj]
Vorrei... | I would like... | [vorɾˈeːɪ]
Sto cercando... | I'm looking for... | [stˈo tʃerkˈando]
Ho bisogno di... | I need... | [ˌo bizˈoɲʲo dˈi]
Puoi aiutarmi? | Can you help me? | [pʊˈɔːɪ ˌajʊtˈaːrmɪ]
Che ore sono? | What time is it? | [kˌe ˈoːre sˈono]
Che ora è? | What time is it? (informal) | [kˌe ˈɔːra ˈɛ]
A che ora? | At what time? | [ˌa kˌe ˈɔːra]
Oggi | Today | [ˈɔdʒːɪ]
Domani | Tomorrow | [domˈaːnɪ]
Ieri | Yesterday | [jˈɛːrɪ]
Ora | Now | [ˈɔːra]
Più tardi | Later | [pjˌʊ tˈaːrdɪ]
Presto | Soon | [prˈɛsto]
Già | Already | [dʒˈa]
Non ancora | Not yet | [nˌon ankˈoːra]
Sempre | Always / Still | [sˈɛmpre]
