# Portuguese phrases - Level D
# Food, everyday items, and activities
# Format: phrase | translation | [[ipa]]

eu gosto de café | i like coffee | [eʊ ɡˈɔstʊ dʒy kafˈɛ]
água com gás | sparkling water | [ˈaɡwæ koŋ ɡˈas]
água sem gás | still water | [ˈaɡwæ sˈeɪŋ ɡˈas]
a comida está deliciosa | the food is delicious | [a kˌomˈidæ estˌa dˌelisiˈɔzæ]
pode trazer a conta | can you bring the bill | [pˌɔdʒy trazˈeɾ a kˈoŋtæ]
aceita cartão de crédito | do you accept credit card | [ˌasˈeɪtæ kaɾətˈɐ̃ʊ̃ dʒy krˈɛdʒitʊ]
vou comer pão com manteiga | i'll eat bread with butter | [vow komˈer pˈɐ̃ʊ̃ koŋ mˌɐ̃ŋtˈeɪɡæ]
gostaria de um café com leite | i would like a coffee with milk | [ɡˌostaɾˈiæ dʒj ũŋ kafˈɛ koŋ lˈeɪtʃy]
onde posso comprar | where can i buy | [ˌoŋdʒy pˌɔsʊ komprˈar]
está muito caro | it's too expensive | [estˌa mwˈiŋtʊ kˈaɾʊ]
tem desconto | is there a discount | [teɪŋ dˌeskˈoŋtʊ]
vou à praia no fim de semana | i'm going to the beach on the weekend | [vow ˌaː prˈaɪæ nʊ fˈiŋ dʒy sˌemˈɐ̃næ]
o tempo está muito bom | the weather is very good | [ʊ tˈeɪmpw estˌa mwˈiŋtʊ bˈoŋ]
está fazendo calor | it's hot | [estˌa fˌazˈeɪŋdʊ kalˈor]
está fazendo frio | it's cold | [estˌa fˌazˈeɪŋdʊ frˈiʊ]
preciso ir embora | i need to leave | [prˌesˈizw ˈiɾ ˌeɪmbˈɔɾæ]
até mais tarde | see you later | [atˌɛ mˈaɪs tˈaɾədʒy]
tenha um bom dia | have a good day | [tˈeɲæ ũŋ bˈoŋ dʒˈiæ]
boa viagem | have a good trip | [bˈoæ vˌiˈaʒeɪŋ]
feliz aniversário | happy birthday | [felˈiz ˌæniveɾəsˈaɾjʊ]
