Bonjour ! | Hello! | [bɔ̃ʒuʁ]
Comment ça va ? | How are you? | [kɔmɑ̃ sa va]
Je m'appelle Pierre | My name is Pierre | [ʒə mapɛl pjɛʁ]
Parlez-vous anglais ? | Do you speak English? | [paʁle vu ɑ̃glɛ]
Pouvez-vous m'aider ? | Can you help me? | [puve vu mɛde]
Combien ça coûte ? | How much does it cost? | [kɔ̃bjɛ̃ sa kut]
Où sont les toilettes ? | Where are the toilets? | [u sɔ̃ le twalɛt]
Je ne comprends pas | I don't understand | [ʒə nə kɔ̃pʁɑ̃ pa]
Pouvez-vous répéter ? | Can you repeat? | [puve vu ʁepete]
Je voudrais ceci | I would like this | [ʒə vudʁɛ səsi]
Avez-vous un menu en anglais ? | Do you have a menu in English? | [ave vu ɛ̃ meny ɑ̃ ɑ̃glɛ]
Je suis perdu | I am lost | [ʒə sɥi pɛʁdy]
Quelle heure est-il ? | What time is it? | [kɛl œʁ ɛtil]
Où est la gare ? | Where is the train station? | [u ɛ la gaʁ]
J’ai besoin d’un médecin | I need a doctor | [ʒɛ bəzwɛ̃ dɛ̃ medsɛ̃]
C’est combien ? | How much is it? | [sɛ kɔ̃bjɛ̃]
Je suis désolé(e) | I’m sorry | [ʒə sɥi dezɔle]
Je viens d’Angleterre | I’m from England | [ʒə vjɛ̃ dɑ̃glətɛʁ]
Je ne parle pas bien français | I don’t speak French well | [ʒə nə paʁl pa bjɛ̃ fʁɑ̃sɛ]
Où puis-je acheter un billet ? | Where can I buy a ticket? | [u pɥiʒ aʃte ɛ̃ bijɛ]
