¿Cómo estás? | How are you? (informal) | [kˈɔmo estˈas]
¿Cómo está usted? | How are you? (formal) | [kˈɔmo estˈa ustˈed]
Me llamo... | My name is... | [me ʎˈamo]
¿Cuál es su nombre? | What is your name? (formal) | [kwˈal ˈes su nˈɔmbɾe]
¿Cómo te llamas? | What's your name? (informal) | [kˈɔmo te ʎˈamas]
Vengo de... | I come from... | [bˈɛŋɡo ðˈe]
Soy inglés | I am English (m) | [sˈoɪ iŋɡlˈɛs]
Soy inglesa | I am English (f) | [sˈoɪ iŋɡlˈesa]
Vivo en Londres | I live in London | [bˈiβo ɛn lˈɔndɾes]
¿Hablas inglés? | Do you speak English? | [ˈaβlas iŋɡlˈɛs]
Hablo un poco de francés | I speak a little French | [ˈaβlo ˈum pˈoko ðe fɾanθˈɛs]
No hablo francés | I don't speak French | [nˈo ˈaβlo fɾanθˈɛs]
No entiendo | I don't understand | [nˈo ɛntjˈɛndo]
¿Puedes repetir? | Can you repeat? | [pwˈeðes rˌepetˈiɾ]
¿Puedes hablar más despacio? | Can you speak more slowly? | [pwˈeðes aβlˈaɾ mˈas ðespˈaθjo]
¿Cómo se dice... en francés? | How do you say... in French? | [kˈɔmo se ðˈiθe
 ɛm fɾanθˈɛs]
¿Qué es esto? | What is this? | [kˈɛ ˈes ˈesto]
¿Qué significa eso? | What does that mean? | [kˈɛ sˌiɡnifˈika ˈeso]
¿Dónde están los baños? | Where are the toilets? | [dˈɔnde estˈan los βˈaɲos]
¿Dónde está...? | Where is...? | [dˈɔnde estˈa]
¿Dónde está? | Where is it? | [dˈɔnde estˈa]
¿Está lejos? | Is it far? | [estˈa lˈexos]
Está cerca | It's near | [estˈa θˈɛɾka]
A la izquierda | To the left | [a la iθkjˈɛɾða]
A la derecha | To the right | [a la ðɛɾˈɛtʃa]
Todo recto | Straight ahead | [tˈoðo rˈekto]
Aquí | Here | [akˈi]
Allá | Over there | [aʎˈa]
Enfrente | Opposite | [ɛmfɾˈɛnte]
Al lado de | Next to | [al lˈaðo ðˈe]
¿Cuánto cuesta? | How much does it cost? | [kwˈanto kwˈesta]
¿Cuánto es? | How much is it? | [kwˈanto ˈes]
Es demasiado caro | It's too expensive | [ˈes ðˌemasjˈaðo kˈaɾɔ]
¿Tienes...? | Do you have...? | [tjˈenes]
Quisiera... | I would like... | [kisjˈɛɾa]
Estoy buscando... | I'm looking for... | [estˈoɪ βuskˈando]
Necesito... | I need... | [nˌeθesˈito]
¿Puedes ayudarme? | Can you help me? | [pwˈeðes ˌajjuðˈaɾme]
¿Qué hora es? | What time is it? | [kˈɛ ˈɔɾa ˈes]
¿Qué hora es? | What time is it? (informal) | [kˈɛ ˈɔɾa ˈes]
¿A qué hora? | At what time? | [a kˈɛ ˈɔɾa]
Hoy | Today | [ˈoɪ]
Mañana | Tomorrow | [maɲˈana]
Ayer | Yesterday | [ajjˈɛɾ]
Ahora | Now | [aˈɔɾa]
Más tarde | Later | [mˈas tˈaɾðe]
Pronto | Soon | [pɾˈɔnto]
Ya | Already | [ʝˈa]
Todavía no | Not yet | [tˌoðaβˈia nˈo]
Siempre | Always / Still | [sjˈempɾe]
