(fr, en)
Yes | Oui | [jˈɛs]
No | Non | [nˈəʊ]
Thank you | Merci | [θˈaŋk juː]
Hello / Good day | Bonjour | [həlˈəʊ slˈaʃ ɡˈʊd dˈeɪ]
Good evening | Bonsoir | [ɡˈʊd ˈiːvnɪŋ]
Goodbye | Au revoir | [ɡʊdbˈaɪ]
Hi / Bye (informal) | Salut | [hˈaɪ slˈaʃ bˈaɪ ɪnfˈɔːməl]
Please (formal) | S'il vous plaît | [plˈiːz fˈɔːməl]
Excuse me | Excusez-moi | [ɛkskjˈuːs mˌiː]
Sorry / Pardon | Pardon | [sˈɒɹi slˈaʃ pˈɑːdən]
It's okay / I'm fine | Ça va | [ɪts əʊkˈeɪ slˈaʃ aɪm fˈaɪn]
Yes, I'm fine | Oui, ça va | [jˈɛs aɪm fˈaɪn]
And you? (formal) | Et vous? | [and jˈuː fˈɔːməl]
And you? (informal) | Et toi? | [and jˈuː ɪnfˈɔːməl]
You're welcome | De rien | [jɔː wˈɛlkʌm]
Have a good day | Bonne journée | [hav ɐ ɡˈʊd dˈeɪ]
Have a good evening | Bonne soirée | [hav ɐ ɡˈʊd ˈiːvnɪŋ]
Good night | Bonne nuit | [ɡˈʊd nˈaɪt]
See you soon | À bientôt | [sˈiː juː sˈuːn]
See you tomorrow | À demain | [sˈiː juː təmˈɒɹəʊ]
Okay / Agreed | D'accord | [əʊkˈeɪ slˈaʃ ɐɡɹˈiːd]
Good / Well | Bien | [ɡˈʊd slˈaʃ wˈɛl]
Very good | Très bien | [vˈɛɹɪ ɡˈʊd]
Not bad | Pas mal | [nˌɒt bˈad]
So-so | Comme ci comme ça | [sˌəʊsˈəʊ]
I don't know | Je ne sais pas | [aɪ dˈəʊnt nˈəʊ]
Maybe | Peut-être | [mˈeɪbiː]
Here it is / There you go | Voilà | [hˈiəɹ ɪt ɪz slˈaʃ ðeə juː ɡˈəʊ]
Let's go | Allons-y | [lˈɛts ɡˈəʊ]
Watch out / Careful | Attention | [wˈɒtʃ ˈaʊt slˈaʃ kˈeəfəl]
Welcome | Bienvenue | [wˈɛlkʌm]
Congratulations | Félicitations | [kənɡɹˈatʃʊlˈeɪʃənz]
Enjoy your meal | Bon appétit | [ɛndʒˈɔɪ jɔː mˈiːl]
Cheers / Bless you | Santé | [tʃˈiəz slˈaʃ blˈɛs juː]
Merry Christmas | Joyeux Noël | [mˈɛɹi kɹˈɪsməs]
Happy New Year | Bonne année | [hˈapi njˈuː jˈiə]
Happy birthday | Bon anniversaire | [hˈapi bˈɜːθdeɪ]
Good luck / Hang in there | Bon courage | [ɡˈʊd lˈʌk slˈaʃ hˈaŋ ɪn ðˈeə]
Have a good trip | Bon voyage | [hav ɐ ɡˈʊd tɹˈɪp]
Nice to meet you (m) | Enchanté | [nˈaɪs tə mˈiːt juː ˈɛm]
Nice to meet you (f) | Enchantée | [nˈaɪs tə mˈiːt juː ˈɛf]
With pleasure | Avec plaisir | [wɪð plˈɛʒə]
Gladly / Willingly | Volontiers | [ɡlˈadli slˈaʃ wˈɪlɪŋlɪ]
I'm coming | J'arrive | [aɪm kˈʌmɪŋ]
One second | Une seconde | [wˈɒn sˈɛkənd]
One moment | Un moment | [wˈɒn mˈəʊmənt]
It's good / That's fine | C'est bon | [ɪts ɡˈʊd slˈaʃ ðats fˈaɪn]
That's all | C'est tout | [ðats ˈɔːl]
Too bad / Never mind | Tant pis | [tˈuː bˈad slˈaʃ nˈɛvə mˈaɪnd]
So much the better | Tant mieux | [sˈəʊ mˌʌtʃ ðə bˈɛtə]
