Hallo! | Hello! | [ˈɦaːloː]
Hoe gaat het? | How are you? | [ˌɦu ɣaːt ˈɦɛt]
Mijn naam is Jan. | My name is Jan. | [mɛi̯n naːm ɪs jɑn]
Spreekt u Engels? | Do you speak English? | [spreːkt y ˈɛŋəls]
Kunt u mij helpen? | Can you help me? | [kʏnt y mɛi̯ ˈɦɛlpə(n)]
Hoeveel kost het? | How much does it cost? | [ˌɦufel kɔst ˈɦɛt]
Waar zijn de toiletten? | Where are the toilets? | [ʋaːr zɛi̯n də twɑˈlɛtə(n)]
Ik begrijp het niet. | I don't understand. | [ɪk bəˈɣrɛip ɦɛt nit]
Kunt u dat herhalen? | Can you repeat that? | [kʏnt y dɑt ɦɛrˈɦaːlə(n)]
Ik wil dit graag. | I would like this. | [ɪk ʋɪl dɪt ɣraːɣ]
Heeft u een menu in het Engels? | Do you have a menu in English? | [ˈɦɛi̯ft y eːn ˈmeːny ɪn ɦɛt ˈɛŋəls]
Ik ben verdwaald. | I am lost. | [ɪk bɛn vɛrˈdʋaːlt]
Hoe laat is het? | What time is it? | [ˌɦu laat ɪs ˈɦɛt]
Waar is het station? | Where is the train station? | [ʋaːr ɪs ɦɛt staˈsjon]
Wat kost dit? | How much is this? | [ʋɑt kɔst dɪt]
Sorry. | I'm sorry. | [ˈsɔri]
Ik kom uit Engeland. | I'm from England. | [ɪk kɔm œyt ˈɛŋəˌlɑnt]
Ik spreek niet zo goed Nederlands. | I don't speak Dutch very well. | [ɪk spreːk nit soː ɣut ˈneːdərlɑnts]
Waar kan ik een ticket kopen? | Where can I buy a ticket? | [ʋaːr kɑn ɪk eːn ˈtɪkət ˈkoːpə(n)]
