# Complete Dutch Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1837

aan | [ˈaːn]
aanbieding | [ˈaːnbˌidɪŋ]
aanbreken | [ˈaːnbrˌeːkən]
aandachtig | [ˈaːndɑxtəx]
aangeboden | [ˈaːnɣəbˌoːdən]
aangekomen | [ˈaːnɣəkˌoːmən]
aangenaam | [ˈaːnɣənˌaːm]
aangestoken | [ˈaːnɣəstˌoːkən]
aankomst | [ˈaːnkˌɔmst]
aanmaken | [ˈaːnmˌaːkən]
aardig | [ˈaːrdəx]
aarzelend | [ˈaːrzələnt]
aarzeling | [ˈaːrzəlˌɪŋ]
aarzelt | [ˈaːrzəlt]
abrupt | [ˈɑbrɵpt]
absorbeert | [ˌɑbsɔrbˈɪrt]
accept | [ˈɑksɛpt]
accepteert | [ˌɑksɛptˈɪrt]
account | [ˈɑkkʌʊnt]
achter | [ˈɑxtər]
address | [ɑdrˈɛss]
adem | [ˈaːdəm]
advancement | [ˌɑdvɑnsəmˈɛnt]
advies | [ɑdvˈis]
af | [ˈɑf]
afdaalt | [ˈɑfdˌaːlt]
afsluiten | [ˈɑfslˌœytən]
afspraak | [ˈɑfsprˌaːk]
agreed | [ɑɣrˈeːt]
ahead | [ˈaːhəˌɑt]
air | [ˈɛr]
airconditioning | [ˈɑjrkɔndˌiʃoːnˌɪŋ]
al | [ˈɑl]
albert | [ˈɑlbɛrt]
all | [ˈɑl]
alle | [ˈɑlə]
allebei | [ˈɑləbˌɛɪ]
alleen | [ɑlˈeːn]
allemaal | [ˌɑləmˈaːl]
allergic | [ˈɑlərɣˌɪk]
allergisch | [ɑlˈɛrɣis]
alles | [ˈɑləs]
already | [ˈɑlrəˌaːdi]
als | [ˈɑls]
alsjeblieft | [ˌɑlʃɛblˈift]
alsof | [ˈɑlsɔf]
alstublieft | [ˌɑlstɵblˈift]
altijd | [ˈɑltɛɪt]
always | [ˈɑlʋaːjs]
am | [ˈɑm]
amount | [ˈaːmʌʊnt]
amsterdam | [ˈɑmstərdˌɑm]
an | [ˈɑn]
and | [ˈɑnt]
andere | [ˈɑndərə]
anders | [ˈɑndərs]
angst | [ˈɑŋst]
annuleren | [ˌɑnylˈɪːrən]
annuleringskosten | [ˈɑnylˌɪːrɪŋskˌɔstən]
another | [ˈaːnɔtər]
antwoordt | [ˈɑntʋɔːrt]
apart | [ˈaːpɑrt]
apartment | [ˌaːpɑrtmˈɛnt]
apotheek | [ˌaːpɔtˈeːk]
appartement | [ˌɑpɑrtəmˈɛnt]
appointment | [ˌɑpoːɪntmˈɛnt]
ardennen | [ˈɑrdɛnən]
are | [ˈaːrə]
arriveert | [ˌɑɾrivˈɪrt]
arriveren | [ˌɑɾrivˈɪːrən]
at | [ˈɑt]
atm | [ˈɑtm]
authentiek | [ˌʌʊtəntˈik]
authorization | [ˌʌʊtoːrˌizaːʃˈɔn]
availability | [ˈaːvɑjlˌaːbilˌiti]
available | [ˈaːvɑjlˌɑblə]
avond | [ˈaːvɔnt]
avonds | [ˈaːvɔnts]
avontuur | [ˌaːvɔntˈyr]
bad | [bˈɑt]
bag | [bˈɑx]
bagage | [baːɣˈaːʒə]
bakker | [bˈɑkər]
bakkerij | [bˌɑkərˈɛɪ]
bakkerin | [bˈɑkɪːrˌɪn]
balance | [bˈaːlɑnsə]
bang | [bˈɑŋ]
bank | [bˈɑŋk]
bankpas | [bˈɑŋkpɑs]
bankrekening | [bˈɑŋkrəkˌeːnɪŋ]
bar | [bˈɑr]
baːɣˈaːʒə | [bˈeː ˈaː (en)lˈɛŋθənd ɡˈamə stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd ˈɛʒ ʃwˈɑː(nl)]
be | [bˌeːˈeː]
bedankt | [bədˈɑŋkt]
bedrag | [bədrˈɑx]
been | [bˈeːn]
beetje | [bˈeːtʲə]
beginnen | [bəɣˈɪnən]
begint | [bəɣˈɪnt]
begrijp | [bəɣrˈɛɪp]
beheersen | [bəhˈɪːrsən]
beiden | [bˈɛɪdən]
bekijkt | [bəkˈɛɪkt]
belangrijk | [bəlˈɑŋrɛɪk]
belangrijkste | [bəlˈɑŋrɛɪkstə]
bellen | [bˈɛlən]
belt | [bˈɛlt]
ben | [bˈɛn]
benaderen | [bənˈaːdərən]
beneden | [bənˈeːdən]
bent | [bˈɛnt]
beproeving | [bəprˈuvɪŋ]
bereik | [bərˈɛɪk]
berg | [bˈɛrx]
bergen | [bˈɛrɣən]
berghut | [bərxhˈɵt]
bergredding | [bərɣrˈɛdɪŋ]
bergreddingsdienst | [bərɣrˌɛdɪŋzdˈinst]
beschermen | [bəsxˈɛrmən]
beschikbaarheid | [bəsxˈɪkbaːrhˌɛɪt]
beschrijft | [bəsxrˈɛɪft]
beslissing | [bəslˈɪsɪŋ]
besloten | [bəslˈoːtən]
besluit | [bəslˈœyt]
besneeuwde | [bəsnˈeʊdə]
bestaan | [bəstˈaːn]
bestellingen | [bəstˈɛlɪŋən]
bestelt | [bəstˈɛlt]
betalen | [bətˈaːlən]
betekenis | [bətˈeːkənˌɪs]
betekent | [bətˈeːkənt]
beter | [bˈeːtər]
better | [bˈɛtər]
bevestigen | [bəvˈɛstəɣən]
bevestiging | [bəvˈɛstiɣˌɪŋ]
bewust | [bəʋˈɵst]
bieden | [bˈidən]
biedt | [bˈit]
bij | [bˈɛɪ]
bijna | [bˈɛɪnˌaː]
bill | [bˈɪl]
binnen | [bˈɪnən]
binnenkort | [bˈɪnənkˌɔrt]
birthday | [bˈɪrtdaːj]
blaast | [blˈaːst]
blaat | [blˈaːt]
blaft | [blˈɑft]
blanc | [blˈɑnk]
blauw | [blˈʌʊ]
bless | [blˈɛss]
