Sì | Yes | [sˈi]
No | No | [nˈɔ]
Grazie | Thank you | [ɡrˈatsje]
Buongiorno | Hello / Good day | [bˌʊondʒˈɔːrno]
Buonasera | Good evening | [bˌʊonazˈɛːra]
Arrivederci | Goodbye | [ˌarɾivedˈɛːrtʃɪ]
Ciao | Hi / Bye (informal) | [tʃˈaʊ]
Per favore | Please (formal) | [pˌɛr favˈoːre]
Mi scusi | Excuse me | [mˌɪ skˈuːzɪ]
Scusa | Sorry / Pardon | [skˈuːza]
Va bene | It's okay / I'm fine | [vˈa bˈɛːne]
Sì, va bene | Yes, I'm fine | [sˈi
 vˈa bˈɛːne]
E lei? | And you? (formal) | [ˌe lˈɛj]
E tu? | And you? (informal) | [ˌe tˈu]
Prego | You're welcome | [prˈɛːɡo]
Buona giornata | Have a good day | [bʊˌona dʒornˈaːta]
Buona serata | Have a good evening | [bʊˌona serˈaːta]
Buonanotte | Good night | [bˌʊonanˈɔtːe]
A presto | See you soon | [ˌa prˈɛsto]
A domani | See you tomorrow | [ˌa domˈaːnɪ]
D'accordo | Okay / Agreed | [dakːˈɔːrdo]
Bene | Good / Well | [bˈɛːne]
Molto bene | Very good | [mˈolto bˈɛːne]
Non male | Not bad | [nˌon mˈaːle]
Così così | So-so | [kozˈi kozˈi]
Non lo so | I don't know | [nˌon lˌo sˈo]
Forse | Maybe | [fˈoːrse]
Ecco | Here it is / There you go | [ˈɛkːo]
Andiamo | Let's go | [andjˈaːmo]
Attenzione | Watch out / Careful | [ˌatːentsiˈɔːne]
Benvenuto | Welcome | [bˌenvenˈuːto]
Congratulazioni | Congratulations | [kˌoŋɡratˌʊlatsiˈɔːnɪ]
Buon appetito | Enjoy your meal | [bʊˌon ˌapːetˈiːto]
Salute | Cheers / Bless you | [salˈuːte]
Buon Natale | Merry Christmas | [bʊˌon natˈaːle]
Buon anno | Happy New Year | [bʊˌon ˈanno]
Buon compleanno | Happy birthday | [bʊˌon kˌompleˈanno]
Buona fortuna | Good luck / Hang in there | [bʊˌona fortˈuːna]
Buon viaggio | Have a good trip | [bʊˌon vjˈadʒːo]
Piacere | Nice to meet you (m) | [pjatʃˈeːre]
Piacere | Nice to meet you (f) | [pjatʃˈeːre]
Con piacere | With pleasure | [kˌon pjatʃˈeːre]
Volentieri | Gladly / Willingly | [vˌolentiˈɛːrɪ]
Arrivo | I'm coming | [arɾˈiːvo]
Un secondo | One second | [ˌʊn sekˈondo]
Un momento | One moment | [ˌʊn momˈento]
Va bene | It's good / That's fine | [vˈa bˈɛːne]
È tutto | That's all | [ˌɛ tˈutːo]
Peccato | Too bad / Never mind | [pekːˈaːto]
Meglio così | So much the better | [mˈɛːʎo kozˈi]
