# English words derived from pt/words/words-004.txt
# Level: D
# Total unique words: 44
# 
# Source language (translation column): Portuguese (pt)
# Format: word | translation | [ipa]
(pt, en)
accepted | aceita | [ɐksˈɛptɪd]
account | conta | [ɐkˈaʊnt]
afternoon | tarde | [ˌaftənˈuːn]
although | embora | [ɒlðˈəʊ]
beach | praia | [bˈiːtʃ]
birthday | aniversário | [bˈɜːθdeɪ]
bread | pão | [bɹˈɛd]
butter | manteiga | [bˈʌtə]
buy | comprar | [bˈaɪ]
card | cartão | [kˈɑːd]
coffee | café | [kˈɒfɪ]
cold | frio | [kˈəʊld]
credit | crédito | [kɹˈɛdɪt]
day | dia | [dˈeɪ]
delicious | deliciosa | [dɪlˈɪʃəs]
discount | desconto | [dˈɪskaʊnt]
doing | fazendo | [dˈuːɪŋ]
eat | comer | [ˈiːt]
end | fim | [ˈɛnd]
expensive | caro | [ɛkspˈɛnsɪv]
food | comida | [fˈuːd]
gas | gás | [ɡˈas]
go | ir | [ɡˈəʊ]
good | boa | [ɡˈʊd]
happy | feliz | [hˈapi]
heat | calor | [hˈiːt]
i | eu | [ˈaɪ]
milk | leite | [mˈɪlk]
more | mais | [mˈɔː]
necessary | preciso | [nˈɛsəsəɹi]
node | no | [nˈəʊd]
of | de | [ˈɒv]
one | um | [wˈɒn]
the | a | [ðˈə]
this | está | [ðˈɪs]
time | tempo | [tˈaɪm]
trip | viagem | [tɹˈɪp]
until | até | [ʌntˈɪl]
very | muito | [vˈɛɹɪ]
water | água | [wˈɔːtə]
week | semana | [wˈiːk]
where | onde | [wˈeə]
with | com | [wˈɪð]
without | sem | [wɪðˈaʊt]
