Oui | Yes | [wi]
Non | No | [nɔ̃]
Merci | Thank you | [mɛʁsi]
Bonjour | Hello / Good day | [bɔ̃ʒuʁ]
Bonsoir | Good evening | [bɔ̃swaʁ]
Au revoir | Goodbye | [o ʁəvwaʁ]
Salut | Hi / Bye (informal) | [saly]
S'il vous plaît | Please (formal) | [sil vu plɛ]
Excusez-moi | Excuse me | [ɛkskyze mwa]
Pardon | Sorry / Pardon | [paʁdɔ̃]
Ça va | It's okay / I'm fine | [sa va]
Oui, ça va | Yes, I'm fine | [wi sa va]
Et vous? | And you? (formal) | [e vu]
Et toi? | And you? (informal) | [e twa]
De rien | You're welcome | [də ʁjɛ̃]
Bonne journée | Have a good day | [bɔn ʒuʁne]
Bonne soirée | Have a good evening | [bɔn swaʁe]
Bonne nuit | Good night | [bɔn nɥi]
À bientôt | See you soon | [a bjɛ̃to]
À demain | See you tomorrow | [a dəmɛ̃]
D'accord | Okay / Agreed | [dakɔʁ]
Bien | Good / Well | [bjɛ̃]
Très bien | Very good | [tʁɛ bjɛ̃]
Pas mal | Not bad | [pa mal]
Comme ci comme ça | So-so | [kɔm si kɔm sa]
Je ne sais pas | I don't know | [ʒə nə sɛ pa]
Peut-être | Maybe | [pøtɛtʁ]
Voilà | Here it is / There you go | [vwala]
Allons-y | Let's go | [alɔ̃zi]
Attention | Watch out / Careful | [atɑ̃sjɔ̃]
Bienvenue | Welcome | [bjɛ̃vəny]
Félicitations | Congratulations | [felisitasjɔ̃]
Bon appétit | Enjoy your meal | [bɔ̃n‿apeti]
Santé | Cheers / Bless you | [sɑ̃te]
Joyeux Noël | Merry Christmas | [ʒwajø nɔɛl]
Bonne année | Happy New Year | [bɔn‿ane]
Bon anniversaire | Happy birthday | [bɔ̃n‿anivɛʁsɛʁ]
Bon courage | Good luck / Hang in there | [bɔ̃ kuʁaʒ]
Bon voyage | Have a good trip | [bɔ̃ vwajaʒ]
Enchanté | Nice to meet you (m) | [ɑ̃ʃɑ̃te]
Enchantée | Nice to meet you (f) | [ɑ̃ʃɑ̃te]
Avec plaisir | With pleasure | [avɛk plɛziʁ]
Volontiers | Gladly / Willingly | [vɔlɔ̃tje]
J'arrive | I'm coming | [ʒaʁiv]
Une seconde | One second | [yn səɡɔ̃d]
Un moment | One moment | [œ̃ mɔmɑ̃]
C'est bon | It's good / That's fine | [sɛ bɔ̃]
C'est tout | That's all | [sɛ tu]
Tant pis | Too bad / Never mind | [tɑ̃ pi]
Tant mieux | So much the better | [tɑ̃ mjø]
