(pt, en)
mountainous | montanhosa | [mˈaʊntɪnəs]
mountains | montanhas | [mˈaʊntɪnz]
much | muita | [mˈʌtʃ]
must | deve | [mˈʌst]
my | meu | [mˈaɪ]
mysterious | misteriosa | [mɪstˈiəɹɪəs]
naivety | ingenuidade | [naɪˈiːvɪti]
name | nome | [nˈeɪm]
narrow | estreitas | [nˈaɹəʊ]
nature | natureza | [nˈeɪtʃə]
near | perto | [nˈiə]
necessary | necessário | [nˈɛsəsəɹi]
need | necessidade | [nˈiːd]
needs | precisa | [nˈiːdz]
neighborhood | bairro | [nˈeɪbəhˌʊd]
nervous | nervoso | [nˈɜːvəs]
nervousness | nervosidade | [nˈɜːvəsnəs]
nettles | urtigas | [nˈɛtəlz]
never | nunca | [nˈɛvə]
new | nova | [njˈuː]
next | seguinte | [nˈɛkst]
nice | simpáticas | [nˈaɪs]
night | noite | [nˈaɪt]
no | não | [nˈəʊ]
noise | barulho | [nˈɔɪz]
nor | nem | [nˈɔː]
normal | normal | [nˈɔːməl]
normandy | normandia | [nˈɔːmandi]
note | nota | [nˈəʊt]
nothing | nada | [nˈʌθɪŋ]
november | novembro | [nəʊvˈɛmbə]
now | agora | [nˈaʊ]
number | número | [nˈʌmbə]
observe | observam | [ɒbzˈɜːv]
observes | observa | [ɒbzˈɜːvz]
of | de | [ˈɒv]
offers | oferece | [ˈɒfəz]
ok | ok | [ˌəʊkˈeɪ]
old | velha | [ˈəʊld]
one | um | [wˈɒn]
only | apenas | [ˈəʊnli]
opens | abre | [ˈəʊpənz]
opposite | contrário | [ˈɒpəsˌɪt]
optimist | otimista | [ˈɒptɪmˌɪst]
or | ou | [ˈɔː]
order | pedido | [ˈɔːdə]
orders | pedidos | [ˈɔːdəz]
organize | organizar | [ˈɔːɡɐnˌaɪz]
other | outro | [ˈʌðə]
others | outras | [ˈʌðəz]
our | nossa | [ˈaʊə]
outdoors | relento | [aʊtdˈɔːz]
outside | fora | [aʊtsˈaɪd]
overloads | sobrecarrega | [ˌəʊvəlˈəʊdz]
owe | devo | [ˈəʊ]
owed | devia | [ˈəʊd]
owner | dona | [ˈəʊnə]
palm | palma | [pˈɑːm]
pan | panela | [pˈan]
panels | painéis | [pˈanəlz]
panic | pânico | [pˈanɪk]
paper | papel | [pˈeɪpə]
part | parte | [pˈɑːt]
parts | partes | [pˈɑːts]
pass | passam | [pˈas]
passes | passa | [pˈasɪz]
passing | passando | [pˈasɪŋ]
path | caminho | [pˈaθ]
paths | caminhos | [pˈaθs]
patience | paciência | [pˈeɪʃəns]
paul | paulo | [pˈɔːl]
pay | pagar | [pˈeɪ]
peaks | picos | [pˈiːks]
people | gente | [pˈiːpəl]
perfect | perfeito | [pˈɜːfɛkt]
person | pessoa | [pˈɜːsən]
photos | fotos | [fˈəʊtəʊz]
picturesque | pitoresco | [pˌɪktʃəɹˈɛsk]
place | local | [plˈeɪs]
places | coloca | [plˈeɪsɪz]
plants | plantas | [plˈants]
plate | chapa | [plˈeɪt]
plates | placas | [plˈeɪts]
platform | plataforma | [plˈatfɔːm]
pleasure | prazer | [plˈɛʒə]
pocket | bolso | [pˈɒkɪt]
pockets | bolsos | [pˈɒkɪts]
points | aponta | [pˈɔɪnts]
portuguese | português | [pˌɔːtʃəɡˈiːz]
possible | possíveis | [pˈɒsəbəl]
precise | preciso | [pɹɪsˈaɪs]
prefers | prefere | [pɹɪfˈɜːz]
prepared | preparada | [pɹɪpˈeəd]
prepares | prepara | [pɹɪpˈeəz]
previous | anterior | [pɹˈiːvɪəs]
problem | problema | [pɹˈɒbləm]
professionals | profissionais | [pɹəfˈɛʃənəlz]
purchase | compra | [pˈɜːtʃɪs]
pure | puro | [pjˈʊə]
question | pergunta | [kwˈɛstʃən]
quickly | rapidamente | [kwˈɪkli]
raised | levantou | [ɹˈeɪzd]
raises | levanta | [ɹˈeɪzɪz]
read | ler | [ɹˈiːd]
ready | pronta | [ɹˈɛdi]
real | reais | [ɹˈiəl]
really | realmente | [ɹˈiəlɪ]
reason | razão | [ɹˈiːzən]
received | recebi | [ɹɪsˈiːvd]
receives | recebe | [ɹɪsˈiːvz]
recognized | reconheceu | [ɹˈɛkəɡnˌaɪzd]
recorded | gravou | [ɹɪkˈɔːdɪd]
records | grava | [ɹˈɛkɔːdz]
recover | recupere | [ɹɪkˈʌvə]
red | tinto | [ɹˈɛd]
reflection | reflexão | [ɹɪflˈɛkʃən]
reflects | reflete | [ɹɪflˈɛkts]
refuge | refúgio | [ɹˈɛfjuːdʒ]
regretful | arrependido | [ɹɪɡɹˈɛtfəl]
regrets | arrependimentos | [ɹɪɡɹˈɛts]
relationship | relacionamento | [ɹɪlˈeɪʃənʃˌɪp]
relief | alívio | [ɹɪlˈiːf]
remain | permanecem | [ɹɪmˈeɪn]
remember | lembram | [ɹɪmˈɛmbə]
repeat | repetir | [ɹɪpˈiːt]
rescue | resgate | [ɹˈɛskjuː]
rescuer | socorrista | [ɹˈɛskjuːə]
rescuers | socorristas | [ɹˈɛskjuːəz]
reservation | reserva | [ɹˌɛzəvˈeɪʃən]
reserve | reservar | [ɹɪsˈɜːv]
resonates | ressoa | [ɹˈɛzənˌeɪts]
responds | responde | [ɹɪspˈɒndz]
rest | descanse | [ɹˈɛst]
resumes | retoma | [ɹɪzjˈuːmz]
return | volta | [ɹɪtˈɜːn]
returning | voltando | [ɹɪtˈɜːnɪŋ]
reunion | reencontro | [ɹˌiːjˈuːniən]
reunited | reencontrado | [ɹˌiːjuːnˈaɪtɪd]
reviews | revê | [ɹɪvjˈuːz]
right | certo | [ɹˈaɪt]
rise | sobem | [ɹˈaɪz]
rises | sobe | [ɹˈaɪzɪz]
risks | risca | [ɹˈɪsks]
rocks | rochas | [ɹˈɒks]
room | quarto | [ɹˈuːm]
rooms | quartos | [ɹˈuːmz]
run | correm | [ɹˈʌn]
running | correndo | [ɹˈʌnɪŋ]
runs | corre | [ɹˈʌnz]
sadness | tristeza | [sˈadnəs]
safe | segura | [sˈeɪf]
said | disse | [sˈɛd]
same | mesma | [sˈeɪm]
sandwiches | sanduíches | [sˈandwɪtʃɪz]
saved | salvou | [sˈeɪvd]
saw | viram | [sˈɔː]
say | dizem | [sˈeɪ]
says | diz | [sˈɛz]
