# French words from phr-01.txt
# Level: D
# Total unique words: 148
#
# Format: word | translation | [ipa]
# One word per line
#

a | has | [ˈa]
adresse | address | [adʁˈɛs]
annuler | Cancel | [anylˈe]
annulé | canceled | [anylˈe]
appartement | apartment | [apaʁtəmˈɑ̃]
assurance | insurance | [asyʁˈɑ̃s]
augmenter | increase | [oɡmɑ̃tˈe]
autorisation | authorisation | [otoʁizasjˈɔ̃]
avalée | swallowed | [avalˈe]
avec | with | [avˈɛk]
avez | have | [avˈe]
bagages | luggage | [baɡˈaʒ]
bancaire | banking | [bɑ̃kˈɛʁ]
besoin | need | [bəzwˈɛ̃]
bureau | desk | [byʁˈo]
carte | map | [kˈaʁt]
caution | deposit | [kosjˈɔ̃]
ce | This | [sˈə-]
change | exchange | [ʃˈɑ̃ʒ]
charges | charges | [ʃˈaʁʒ]
chargés | loaded | [ʃaʁʒˈe]
cherche | look for | [ʃˈɛʁʃ]
code | code | [kˈɔd]
combien | How much | [kɔ̃bjˈɛ̃]
commencer | to start | [kɔmɑ̃sˈe]
comment | how | [kɔmˈɑ̃]
commun | common | [kɔmˈœ̃]
comprises | included | [kɔ̃pʁˈiz]
compte | account | [kˈɔ̃t]
confirmation | confirmation | [kɔ̃fiʁmasjˈɔ̃]
confirmer | confirm | [kɔ̃fiʁmˈe]
consulter | to consult | [kɔ̃syltˈe]
contacter | contact | [kɔ̃taktˈe]
couvert | covered | [kuvˈɛʁ]
coûte | costs | [kˈut]
d'annulation | cancellation | [danylasjˈɔ̃]
d'identité | identity | [didɑ̃titˈe]
d'une | of a | [dˈyn]
d'évolution | devolution | [devolysjˈɔ̃]
de | of / from | [dˈə-]
des | of the | [dˈe-]
disponibilité | availability | [disponibilitˈe]
distributeur | distributer | [distʁibytˈœʁ]
documents | documents | [dokymˈɑ̃]
dois | have to | [dwˈa]
du | of | [dˈy-]
déposer | deposit | [depozˈe]
elles | they | [ˈɛl]
email | e-mail | [(en)ˈiːmeɪl(fr)]
en | in | [ˈɑ̃]
encore | Again | [ɑ̃kˈɔʁ]
est | East | [ˈɛ]
faire | TO DO | [fˈɛʁ]
faut | must | [fˈo]
fonctionne | works | [fɔ̃ksjˈɔn]
frais | costs | [fʁˈɛ]
franchise | franchise | [fʁɑ̃ʃˈiz]
il | he | [ˈil]
j'ai | I have | [ʒˈe]
je | I | [ʒˈə-]
l'argent | money | [laʁʒˈɑ̃]
l'assurance | insurance | [lasyʁˈɑ̃s]
la | there | [lˈa-]
le | THE | [lˈə-]
les | THE | [lˈe-]
louer | to rent out | [lwˈe]
loyer | rent | [lwajˈe]
ma | my | [mˈa-]
me | me | [mˈə-]
mensuels | monthly | [mɑ̃syˈɛl]
mes | my | [mˈe-]
mois | month | [mwˈa]
mon | My | [mˈɔ̃]
montant | Rising | [mɔ̃tˈɑ̃]
n'ai | don't have | [nˈe]
n'ont | don't have | [nˈɔ̃]
ne | not (negation particle) | [nˈə-]
numéro | number | [nymeʁˈo]
objets | objects | [ɔbʒˈɛ]
obtenir | get | [ɔbtnˈiʁ]
opportunités | opportunities | [ɔpɔʁtynitˈe]
opposition | opposition | [ɔpozisjˈɔ̃]
ouvrir | open | [uvʁˈiʁ]
où | Or | [ˈu]
par | by | [pˈaʁ]
pas | not | [pˈa]
peux | can | [pˈø]
pin | pine | [pˈɛ̃]
pièce | piece | [pjˈɛs]
plafond | ceiling | [plafˈɔ̃]
plainte | complaint | [plˈɛ̃t]
porter | to carry | [pɔʁtˈe]
pour | For | [pˈuʁ]
pourriez | could | [puʁjˈe]
pouvez | can | [puvˈe]
prend | takes | [pʁˈɑ̃]
prendre | take | [pʁˈɑ̃dʁ]
problème | issue | [pʁɔblˈɛm]
prochain | next | [pʁoʃˈɛ̃]
proposé | propose | [pʁopozˈe]
proximité | proximity | [pʁoksimitˈe]
puis | Then | [pyˈi]
qu'est | what is | [kˈɛ]
qualifications | qualifications | [kalifikasjˈɔ̃]
quand | When | [kˈɑ̃]
quartier | neighborhood | [kaʁtjˈe]
que | that | [kˈə]
quel | what | [kˈɛl]
quelle | what | [kˈɛl]
quelles | what | [kˈɛl]
quelqu'un | someone | [kɛlkˈœ̃]
quels | which | [kˈɛl]
qui | Who | [kˈi]
remboursé | refunded | [ʁɑ̃buʁsˈe]
rendez | go | [ʁɑ̃dˈe]
requises | required | [ʁəkˈiz]
retrait | withdrawal | [ʁətʁˈɛ]
reçu | received | [ʁəsˈy]
réclamation | claim | [ʁeklamasjˈɔ̃]
réservation | reservation | [ʁezɛʁvasjˈɔ̃]
salaire | salary | [salˈɛʁ]
sans | without | [sˈɑ̃]
solde | pay | [sˈɔld]
sont | are | [sˈɔ̃]
souhaiterais | would like | [suɛtʁˈɛ]
souscrire | subscribe | [suskʁˈiʁ]
sûr | on | [sˈyːʁ]
t | t | [tˈe]
taux | rate | [tˈo]
temps | time | [tˈɑ̃]
transférer | transfer | [tʁɑ̃sfeʁˈe]
transports | transport | [tʁɑ̃spˈɔʁ]
travail | work | [tʁavˈaj]
trouvés | found | [tʁuvˈe]
téléphone | phone | [telefˈɔn]
un | a / one (m) | [ˈœ̃]
une | a / one (f) | [ˈyn]
utilisé | used | [ytilizˈe]
virement | payment | [viʁmˈɑ̃]
vol | flight | [vˈɔl]
votre | your | [vˈotʁ]
voudrais | would like | [vudʁˈɛ]
vous | you (formal/plural) | [vˈu]
vérifier | check | [veʁifjˈe]
y | there | [iɡʁˈɛk]
à | to / at | [ˈa]
été | summer | [etˈe]
être | maybe | [ˈɛtʁ]
