Ja | Yes | [jˈaː]
Nee | No | [nˈeː]
Dank je | Thank you | [dˈɑŋk jə]
Hallo | Hello / Good day | [hˈɑloː]
Goedenavond | Good evening | [ɣˈudənˌaːvɔnt]
Tot ziens | Goodbye | [tɔt zˈins]
Hoi | Hi / Bye (informal) | [hˈoːi]
Alstublieft | Please (formal) | [ˌɑlstɵblˈift]
Excuseer mij | Excuse me | [ˌɛkskyzˈɪr mˈɛɪ]
Sorry | Sorry / Pardon | [sˈɔɾri]
Het gaat | It's okay / I'm fine | [hət ɣˈaːt]
Ja, het gaat | Yes, I'm fine | [jˈaː
 hət ɣˈaːt]
En u? | And you? (formal) | [ˈɛn y]
En jij? | And you? (informal) | [ˈɛn jɛɪ]
Graag gedaan | You're welcome | [ɣrˈaːx ɣədˈaːn]
Fijne dag | Have a good day | [fˈɛɪnə dˈɑx]
Fijne avond | Have a good evening | [fˈɛɪnə ˈaːvɔnt]
Goede nacht | Good night | [ɣˈudə nˈɑxt]
Tot snel | See you soon | [tɔt snˈɛl]
Tot morgen | See you tomorrow | [tɔt mˈɔrɣən]
Oké | Okay / Agreed | [oːkˈeː]
Goed | Good / Well | [ɣˈut]
Heel goed | Very good | [hˈeːl ɣˈut]
Niet slecht | Not bad | [nˌit slˈɛxt]
Zozo | So-so | [zoːzˈoː]
Ik weet het niet | I don't know | [ɪk ʋˈeːt hət nˈit]
Misschien | Maybe | [mɪsxˈin]
Daar is het | Here it is / There you go | [dˈaːr ɪs hət]
Laten we gaan | Let's go | [lˈaːtən ʋə ɣˈaːn]
Pas op | Watch out / Careful | [pˈɑs ˈɔp]
Welkom | Welcome | [ʋˈɛlkɔm]
Gefeliciteerd | Congratulations | [ɣəfˌeːlisitˈɪrt]
Eet smakelijk | Enjoy your meal | [ˈeːt smˈaːkələk]
Proost | Cheers / Bless you | [prˈoːst]
Vrolijk Kerstfeest | Merry Christmas | [vrˈoːlək kˈɛrstfeːst]
Gelukkig Nieuwjaar | Happy New Year | [ɣəlˈɵkəx nˈiwjaːr]
Gelukkige verjaardag | Happy birthday | [ɣəlˈɵkəɣə vərjˈaːrdˌɑx]
Veel succes | Good luck / Hang in there | [vˈeːl sɵksˈɛs]
Goede reis | Have a good trip | [ɣˈudə rˈɛɪs]
Aangenaam | Nice to meet you (m) | [ˈaːnɣənˌaːm]
Aangenaam | Nice to meet you (f) | [ˈaːnɣənˌaːm]
Met plezier | With pleasure | [mɛt pleːzˈir]
Graag | Gladly / Willingly | [ɣrˈaːx]
Ik kom eraan | I'm coming | [ɪk kˈɔm ɛrˈaːn]
Een seconde | One second | [ən səkˈɔndə]
Een moment | One moment | [ən moːmˈɛnt]
Het is goed | It's good / That's fine | [hət ɪs ɣˈut]
Dat is alles | That's all | [dɑt ɪs ˈɑləs]
Jammer dan | Too bad / Never mind | [jˈɑmər dˈɑn]
Des te beter | So much the better | [dˈɛs tə bˈeːtər]
