Sí | Yes | [sˈi]
No | No | [nˈo]
Gracias | Thank you | [ɡɾˈaθjas]
Hola | Hello / Good day | [ˈola]
Buenas noches | Good evening | [bwˈenas nˈotʃes]
Adiós | Goodbye | [aðjˈɔs]
Hola | Hi / Bye (informal) | [ˈola]
Por favor | Please (formal) | [pɔɾ faβˈɔɾ]
Disculpe | Excuse me | [diskˈulpe]
Perdón | Sorry / Pardon | [pɛɾðˈɔn]
Está bien | It's okay / I'm fine | [estˈa βjˈɛn]
Sí, estoy bien | Yes, I'm fine | [sˈi
 estˈoɪ βjˈɛn]
¿Y usted? | And you? (formal) | [i ustˈed]
¿Y tú? | And you? (informal) | [i tˈu]
De nada | You're welcome | [de nˈaða]
Que tengas un buen día | Have a good day | [ke tˈɛŋɡas ˈum bwˈɛn dˈia]
Que tengas una buena tarde | Have a good evening | [ke tˈɛŋɡas ˈuna βwˈena tˈaɾðe]
Buenas noches | Good night | [bwˈenas nˈotʃes]
Hasta pronto | See you soon | [ˌasta pɾˈɔnto]
Hasta mañana | See you tomorrow | [ˌasta maɲˈana]
De acuerdo | Okay / Agreed | [de akwˈɛɾðo]
Bien | Good / Well | [bjˈɛn]
Muy bien | Very good | [mˈujj βjˈɛn]
No está mal | Not bad | [nˈo estˈa mˈal]
Así así | So-so | [asˈi asˈi]
No sé | I don't know | [nˈo sˈɛ]
Quizás | Maybe | [kiθˈas]
Ahí está | Here it is / There you go | [aˈi estˈa]
Vamos | Let's go | [bˈamos]
Cuidado | Watch out / Careful | [kwiðˈaðo]
Bienvenido | Welcome | [bjˌɛmbenˈiðo]
Felicidades | Congratulations | [fˌeliθiðˈaðes]
Buen provecho | Enjoy your meal | [bwˈɛm pɾoβˈetʃo]
Salud | Cheers / Bless you | [salˈud]
Feliz Navidad | Merry Christmas | [felˈiθ nˌaβiðˈad]
Feliz Año Nuevo | Happy New Year | [felˈiθ ˈaɲo nwˈeβo]
Feliz cumpleaños | Happy birthday | [felˈiθ kˌumpleˈaɲos]
Ánimo | Good luck / Hang in there | [ˈanimo]
Buen viaje | Have a good trip | [bwˈɛm bjˈaxe]
Encantado | Nice to meet you (m) | [ˌɛnkantˈaðo]
Encantada | Nice to meet you (f) | [ˌɛnkantˈaða]
Con gusto | With pleasure | [kɔŋ ɡˈusto]
Con gusto | Gladly / Willingly | [kɔŋ ɡˈusto]
Ya voy | I'm coming | [ʝˈa βˈoɪ]
Un segundo | One second | [ˈun seɣˈundo]
Un momento | One moment | [ˈun momˈɛnto]
Está bien | It's good / That's fine | [estˈa βjˈɛn]
Eso es todo | That's all | [ˈeso ˈes tˈoðo]
No importa | Too bad / Never mind | [nˈo impˈɔɾta]
Mejor así | So much the better | [mexˈɔɾ asˈi]
