# Complete Portuguese Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1186

abaixo | below | [ˌabˈaɪʃʊ]
abandonada | abandoned | [ˌabɐ̃ŋdonˈadæ]
abandoná-la | abandon her | [ˌabɐ̃ŋdonˈalæ]
abre | opens | [ˈabry]
abrigo | shelter | [ˌabrˈiɡʊ]
abrigou | sheltered | [ˌabriɡˈow]
absorve | absorbs | [ˌabsˈɔɾəvy]
acabada | finished | [ˌakabˈadæ]
aceita | accepts | [ˌasˈeɪtæ]
aceitemos | let's accept | [ˌaseɪtˈemʊs]
acender | light | [ˌaseɪŋdˈer]
acendeu | lit | [ˌaseɪŋdˈeʊ]
acendi | lit | [ˌaseɪŋdʒˈi]
acho | think | [ˈaʃʊ]
acima | above | [ˌasˈimæ]
acolhedor | cozy | [ˌakoljedˈor]
acompanha | accompanies | [ˌakompˈɐ̃ɲæ]
aconchegante | cozy | [ˌakoŋʃeɡˈɐ̃ŋtʃy]
aconselha | advises | [ˌakoŋsˈeljæ]
acontece | happens | [ˌakoŋtˈɛsy]
acontecem | happen | [ˌakoŋtˈɛseɪŋ]
acontecendo | happening | [ˌakoŋtesˈeɪŋdʊ]
acontecer | happen | [ˌakoŋtesˈer]
acreditado | trusted | [ˌakredʒitˈadʊ]
adega | cellar | [ˌadˈɛɡæ]
admirando | admiring | [ˌadmiɾˈɐ̃ŋdʊ]
adoramos | we love | [ˌadoɾˈɐ̃mʊs]
adoro | love | [ˌadˈɔɾʊ]
afastando | moving away | [ˌafastˈɐ̃ŋdʊ]
afinal | after all | [ˌafinˈaʊ]
agora | now | [ˌaɡˈɔɾæ]
ah | ah | [ˈa]
ainda | still | [ˌaˈiŋdæ]
algo | something | [ˈaʊɡʊ]
algum | some | [aʊɡˈũŋ]
alguma | some | [ˌaʊɡˈumæ]
algumas | some | [ˌaʊɡˈumæs]
alguns | some | [aʊɡˈũŋs]
alguém | someone | [aʊɡˈeɪŋ]
ali | there | [alˈi]
alimentam | feed | [ˌalimˈeɪŋtɐ̃ʊ̃]
alto | high | [ˈaʊtʊ]
alívio | relief | [ˌalˈivjʊ]
amanhecer | dawn | [ˌæmɐ̃ɲesˈer]
amanhã | tomorrow | [ˌæmɐ̃ɲˈɐ̃]
ambos | both | [ˈɐ̃mbʊs]
amor | love | [æmˈor]
andando | walking | [ˌɐ̃ŋdˈɐ̃ŋdʊ]
andar | walk | [ɐ̃ŋdˈar]
angustiado | anguished | [ˌɐ̃ŋɡustʃiˈadʊ]
angústia | anguish | [ˌɐ̃ŋɡˈustʃjæ]
