(pt, en)
a | uma | [ˈeɪ]
abandoned | abandonada | [ɐbˈandənd]
about | cerca | [ɐbˈaʊt]
above | acima | [əbˈʌv]
abruptly | bruscamente | [ɐbɹˈʌptli]
absorbs | absorve | [ɐbsˈɔːbz]
accepts | aceita | [ɐksˈɛpts]
accompanies | acompanha | [ɐkˈʌmpənɪz]
account | conta | [ɐkˈaʊnt]
achieves | consegue | [ɐtʃˈiːvz]
admiring | admirando | [ɐdmˈaɪəɹɪŋ]
adventure | aventura | [ɐdvˈɛntʃə]
advertisement | anúncio | [ɐdvˈɜːtɪsmənt]
advice | conselho | [ɐdvˈaɪs]
advises | aconselha | [ɐdvˈaɪzɪz]
after | após | [ˈaftə]
afternoon | tarde | [ˌaftənˈuːn]
agree | concordo | [ɐɡɹˈiː]
ah | ah | [ˈɑː]
air | ar | [ˈeə]
all | toda | [ˈɔːl]
allow | permitir | [ɐlˈaʊ]
almost | quase | [ˈɔːlməʊst]
alone | sozinha | [ɐlˈəʊn]
also | também | [ˈɒlsəʊ]
although | embora | [ɒlðˈəʊ]
always | sempre | [ˈɔːlweɪz]
amount | importe | [ɐmˈaʊnt]
ancient | antigos | [ˈeɪnʃənt]
anguish | angústia | [ˈaŋɡwɪʃ]
anguished | angustiado | [ˈaŋɡwɪʃt]
animal | animal | [ˈanɪməl]
animals | animais | [ˈanɪməlz]
announces | anuncia | [ɐnˈaʊnsɪz]
another | outra | [ɐnˈʌðə]
apartment | apartamento | [ɐpˈɑːtmənt]
appears | aparece | [ɐpˈiəz]
appetite | apetite | [ˈapɪtˌaɪt]
approach | aproximam | [ɐpɹˈəʊtʃ]
approaches | aproxima | [ɐpɹˈəʊtʃɪz]
are | estão | [ˈɑː]
around | redor | [ɐɹˈaʊnd]
arrival | chegada | [ɐɹˈaɪvəl]
arrive | chegam | [ɐɹˈaɪv]
arrived | chegaram | [ɐɹˈaɪvd]
arrives | chega | [ɐɹˈaɪvz]
as | como | [ˈaz]
ask | perguntar | [ˈask]
aspicuelta | aspicuelta | [ˌaspɪkjˈuːltə]
attempt | tentativa | [ɐtˈɛmpt]
attendant | atendente | [ɐtˈɛndənt]
attentively | atentamente | [ɐtˈɛntɪvli]
