# French words from phr-01.txt
# Level: C
# Total unique words: 131
#
# Format: word | translation | [ipa]
# One word per line
#

a | has | [ˈa]
acceptez | accept | [aksɛptˈe]
acheter | buy | [aʃtˈe]
aller | go | [alˈe]
allergique | allergic | [alɛʁʒˈik]
anglais | English | [ɑ̃ɡlˈɛ]
appeler | to call | [aplˈe]
arachides | peanuts | [aʁaʃˈid]
au | to the / at the | [ˈo]
autre | other | [ˈotʁ]
aux | to | [ˈo]
avez | have | [avˈe]
bancaires | banking | [bɑ̃kˈɛʁ]
beaucoup | a lot | [bokˈu]
besoin | need | [bəzwˈɛ̃]
billet | ticket | [bijˈɛ]
bus | bus | [bˈys]
c'est | it is / this is | [sˈɛ]
cadeau | gift | [kadˈo]
carte | map | [kˈaʁt]
cartes | cards | [kˈaʁt]
ce | This | [sˈə-]
chambre | bedroom | [ʃˈɑ̃bʁ]
changer | to change | [ʃɑ̃ʒˈe]
chaude | hot | [ʃˈod]
chemin | path | [ʃəmˈɛ̃]
cherche | look for | [ʃˈɛʁʃ]
climatisation | air conditioning | [klimatizasjˈɔ̃]
clé | key | [klˈe]
combien | How much | [kɔ̃bjˈɛ̃]
commissariat | police station | [kɔmisaʁjˈa]
compris | Understood | [kɔ̃pʁˈi]
couleur | color | [kulˈœʁ]
d'eau | water | [dˈo]
d'un | of a | [dˈœ̃]
d'une | of a | [dˈyn]
de | of / from | [dˈə-]
deux | two | [dˈø]
direct | direct | [diʁˈɛkt]
disponible | available | [disponˈibl]
dois | have to | [dwˈa]
déjeuner | lunch | [deʒønˈe]
en | in | [ˈɑ̃]
essayer | to try | [esɛjˈe]
est | East | [ˈɛ]
faire | TO DO | [fˈɛʁ]
fièvre | fever | [fjˈɛvʁ]
fonctionne | works | [fɔ̃ksjˈɔn]
gardez | keep | [ɡaʁdˈe]
gare | station | [ɡˈaʁ]
gluten | gluten | [ɡlytˈɛn]
grande | big | [ɡʁˈɑ̃d]
heure | hour | [ˈœʁ]
heures | hours | [ˈœʁ]
il | he | [ˈil]
inclus | included | [ɛ̃klˈy]
j'ai | I have | [ʒˈe]
je | I | [ʒˈə-]
l'addition | the addition | [ladisjˈɔ̃]
l'arrêt | the stop | [laʁˈɛ]
la | there | [lˈa-]
le | THE | [lˈə-]
les | THE | [lˈe-]
m'a | my | [mˈa]
m'indiquer | tell me | [mɛ̃dikˈe]
mal | bad | [mˈal]
marche | walk | [mˈaʁʃ]
me | me | [mˈə-]
menu | menu | [mənˈy]
mon | My | [mˈɔ̃]
monnaie | cash | [mɔnˈɛ]
médecin | doctor | [medəsˈɛ̃]
n'y | no | [nˈi]
ne | not (negation particle) | [nˈə-]
nuit | night | [nyˈi]
nuits | nights | [nyˈi]
on | we | [ˈɔ̃]
ordonnance | prescription | [ɔʁdɔnˈɑ̃s]
ou | Or | [ˈu]
où | Or | [ˈu]
paquet | pack | [pakˈɛ]
par | by | [pˈaʁ]
paris | Paris | [paʁˈi]
part | leaves | [pˈaʁ]
pas | not | [pˈa]
passeport | passport | [paspˈɔʁ]
payer | pay | [pɛjˈe]
perdu | lost | [pɛʁdˈy]
perdue | lost | [pɛʁdˈy]
personnes | people | [pɛʁsˈɔn]
petit | little | [pətˈi]
peux | can | [pˈø]
pharmacie | pharmacy | [faʁmasˈi]
plaît | please | [plˈɛ]
plus | more | [plˈy]
police | police | [polˈis]
pour | For | [pˈuʁ]
pouvez | can | [puvˈe]
prix | price | [pʁˈi]
proche | close | [pʁˈɔʃ]
puis | Then | [pyˈi]
qu'est | what is | [kˈɛ]
que | that | [kˈə]
quel | what | [kˈɛl]
quelle | what | [kˈɛl]
recommandez | recommend | [ʁəkɔmɑ̃dˈe]
retard | delay | [ʁətˈaʁ]
retour | back | [ʁətˈuʁ]
réveiller | wake | [ʁevɛjˈe]
s'il | if | [sˈil]
sac | bag | [sˈak]
sans | without | [sˈɑ̃]
sens | sense | [sˈɑ̃s]
sept | seven | [sˈɛt]
service | service | [sɛʁvˈis]
simple | simple | [sˈɛ̃pl]
solde | pay | [sˈɔld]
suis | am | [syˈi]
table | table | [tˈabl]
taille | size | [tˈaj]
tousse | cough | [tˈus]
train | train | [tʁˈɛ̃]
tête | head | [tˈɛt]
un | a / one (m) | [ˈœ̃]
une | a / one (f) | [ˈyn]
ventre | belly | [vˈɑ̃tʁ]
volé | stolen | [volˈe]
vous | you (formal/plural) | [vˈu]
végétarien | vegetarian | [veʒetaʁjˈɛ̃]
végétarienne | vegetarian | [veʒetaʁjˈɛn]
à | to / at | [ˈa]
