# Complete French Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1255

a-t-elle | does she | [atˈɛl]
a-t-il | does he | [atˈil]
abandonnée | abandoned | [abɑ̃dɔnˈe]
abri | shelter | [abʁˈi]
abritées | sheltered | [abʁitˈe]
absorbe | absorbs | [absˈɔʁb]
accepte | accepts | [aksˈɛpt]
acceptez-vous | do you accept | [aksɛptˈevˈu]
accueille | welcomes | [akˈœj]
achats | purchases | [aʃˈa]
acheter | buy | [aʃtˈe]
achevée | completed | [aʃvˈe]
achète | buys | [aʃˈɛt]
admirant | admiring | [admiʁˈɑ̃]
adorons | adore | [adɔʁˈɔ̃]
adresse | address | [adʁˈɛs]
aide | help | [ˈɛd]
aider | help | [ɛdˈe]
aidera | will help | [ɛdʁˈa]
aidé | helped | [ɛdˈe]
aimez | like | [ɛmˈe]
ainsi | thus | [ɛ̃sˈi]
ait | has | [ˈɛ]
aller | go | [alˈe]
aller-retour | round trip | [alˈeʁətˈuʁ]
allergique | allergic | [alɛʁʒˈik]
allez-vous | are you going | [alˈevˈu]
allons | let's go | [alˈɔ̃]
allons-nous | shall we go | [alˈɔ̃nˈu]
allons-y | let's go | [alˈɔ̃ziɡʁˈɛk]
allumer | light | [alymˈe]
allumette | match | [alymˈɛt]
allumettes | matches | [alymˈɛt]
allumé | lit | [alymˈe]
alpes | alps | [ˈalp]
alpin | alpine | [alpˈɛ̃]
amour | love | [amˈuʁ]
anglais | English | [ɑ̃ɡlˈɛ]
anglaise | English | [ɑ̃ɡlˈɛz]
animal | animal | [animˈal]
animaux | animals | [animˈo]
anniversaire | birthday | [anivɛʁsˈɛʁ]
annonce | announcement | [anˈɔ̃s]
annonce-t-il | does he announce | [anˈɔ̃stˈil]
annuler | cancel | [anylˈe]
annulé | canceled | [anylˈe]
année | year | [anˈe]
apparaît | appears | [apaʁˈɛ]
appartement | apartment | [apaʁtəmˈɑ̃]
appeler | call | [aplˈe]
appelle | calls | [apˈɛl]
apporte | brings | [apˈɔʁt]
apporté | brought | [apɔʁtˈe]
appris | learned | [apʁˈi]
appétit | appetite | [apetˈi]
après | after | [apʁˈɛ]
arachides | peanuts | [aʁaʃˈid]
arbres | trees | [ˈaʁbʁ]
arrange | arrange | [aʁˈɑ̃ʒ]
arrive | arrives | [aʁˈiv]
arrivent | arrive | [aʁˈiv]
arrivée | arrival | [aʁivˈe]
arrivés | arrived | [aʁivˈe]
as | have | [ˈas]
as-tu | have you | [atˈy]
assise | seated | [asˈiz]
assurance | insurance | [asyʁˈɑ̃s]
attend | waits | [atˈɑ̃]
attendant | waiting | [atɑ̃dˈɑ̃]
attendons | we wait | [atɑ̃dˈɔ̃]
attendre | wait | [atˈɑ̃dʁ]
attends | wait | [atˈɑ̃]
