original,translation,ipa,category,date
Paraty,Paraty,/paɾaˈtʃi/,proper_noun,2026-02-22 15:36
Mar,sea,/maʁ/,noun_concrete,2026-02-22 15:36
de,of,/dʒi/,prep,2026-02-22 15:36
abril,April,/aˈbɾiw/,noun_abstract,2026-02-22 15:36
em,in,/ẽ/,prep,2026-02-22 15:36
céu,sky,/sˈɛw/,noun_concrete,2026-02-22 15:36
azul,blue,/aˈzul/,adj,2026-02-22 15:36
Onde,where,/ˈõdʒi/,adv_rel,2026-02-22 15:36
a,the,/a/,article_fem,2026-02-22 15:36
mata,forest,/ˈmata/,noun_concrete,2026-02-22 15:36
se,(reflexive clitic),/si/,pron_clitic,2026-02-22 15:36
abre,opens,/ˈabɾi/,verb_vt,2026-02-22 15:36
Para,to in order to,/ˈpaɾa/,prep,2026-02-22 15:36
te,you,/tʃi/,pron_clitic,2026-02-22 15:36
receber,to receive,/ʁeseˈbeʁ/,verb_vt,2026-02-22 15:36
com,with,/kõ/,prep,2026-02-22 15:36
água,water,/ˈagwa/,noun_concrete,2026-02-22 15:36
baía,bay,/baˈia/,noun_concrete,2026-02-22 15:36
Uma,a one,/ˈuma/,article_fem_indef,2026-02-22 15:36
dentro,inside,/ˈdẽtɾu/,adv,2026-02-22 15:36
Ilha,island,/ˈiʎa/,noun_concrete,2026-02-22 15:36
Grande,big great,/ˈgɾɐ̃dʒi/,adj,2026-02-22 15:36
que,that which,/ki/,conj_rel,2026-02-22 15:36
recebe,receives,/ʁeˈsɛbi/,verb_vt,2026-02-22 15:36
acolhe,welcomes,/aˈkɔʎi/,verb_vt,2026-02-22 15:36
abraça,embraces,/aˈbɾasa/,verb_vt,2026-02-22 15:36
massageia,massages,/masaˈʒeja/,verb_vt,2026-02-22 15:36
Envolvente,enveloping,/ẽvowˈvẽtʃi/,adj,2026-02-22 15:36
vem,comes,/vẽj/,verb_vi,2026-02-22 15:36
lambendo,licking,/lɐ̃ˈbẽdu/,verb_ger,2026-02-22 15:36
mãos,hands,/mɐ̃ws/,noun_concrete,2026-02-22 15:36
coxas,thighs,/ˈkoʃas/,noun_concrete,2026-02-22 15:36
cabelos,hair,/kaˈbelus/,noun_concrete,2026-02-22 15:36
amigo,friendly,/aˈmigu/,adj,2026-02-22 15:36
amante,loving lover,/aˈmɐ̃tʃi/,adj_noun,2026-02-22 15:36
sargentinhos,sergeant fish (small),/saʁʒẽˈtʃĩɲus/,noun_concrete,2026-02-22 15:36
Disputando,competing for,/dʒispuˈtɐ̃du/,verb_ger,2026-02-22 15:36
um,a one,/ũ/,article_masc_indef,2026-02-22 15:36
farelo,crumb,/faˈɾelu/,noun_concrete,2026-02-22 15:36
pão,bread,/pɐ̃w/,noun_concrete,2026-02-22 15:36
águas,waters,/ˈagwas/,noun_concrete,2026-02-22 15:36
calmas,calm,/ˈkawmas/,adj,2026-02-22 15:36
claras,clear,/ˈklaɾas/,adj,2026-02-22 15:36
transparentes,transparent,/tɾɐ̃spɾaˈẽtʃis/,adj,2026-02-22 15:36
Peixinhos,little fish,/pejˈʃĩɲus/,noun_concrete,2026-02-22 15:36
coloridos,colourful,/kolɔˈɾidus/,adj,2026-02-22 15:36
como,like as,/ˈkomu/,conj,2026-02-22 15:36
portas,doors,/ˈpɔʁtas/,noun_concrete,2026-02-22 15:36
amarelos,yellow,/amaˈɾelus/,adj,2026-02-22 15:36
listas,stripes,/ˈlistas/,noun_concrete,2026-02-22 15:36
pretas,black,/ˈpɾetas/,adj,2026-02-22 15:36
machos,males,/ˈmaʃus/,noun_concrete,2026-02-22 15:36
tingem,they dye turn,/ˈtʃĩʒẽj/,verb_vr,2026-02-22 15:36
anil,indigo,/aˈniw/,noun_concrete,2026-02-22 15:36
à,at the,/a/,prep+article,2026-02-22 15:36
época,season time,/ˈɛpɔka/,noun_abstract,2026-02-22 15:36
reprodução,reproduction breeding,/ʁepɾodukˈsɐ̃w/,noun_abstract,2026-02-22 15:36
E,and,/i/,conj,2026-02-22 15:36
fecundam,they fertilize,/feˈkũdɐ̃w/,verb_vt,2026-02-22 15:36
novos,new,/ˈnɔvus/,adj,2026-02-22 15:36
Nas,in the,/naz/,prep+article,2026-02-22 15:36
pedras,stones rocks,/ˈpɛdɾas/,noun_concrete,2026-02-22 15:36
fundo,bottom,/ˈfũdu/,noun_concrete,2026-02-22 15:36
caiçara,caiçara coastal,/kajˈsaɾa/,adj_noun,2026-02-22 15:36
canoas,canoes,/kaˈnoas/,noun_concrete,2026-02-22 15:36
tranqüilas,tranquil,/tɾɐ̃ˈkwilas/,adj,2026-02-22 15:36
curvas,curves,/ˈkuʁvas/,noun_concrete,2026-02-22 15:36
sinuosas,sinuous,/sinuˈozas/,adj,2026-02-22 15:36
perfeitas,perfect,/peʁˈfejtas/,adj,2026-02-22 15:36
Suaves,gentle soft,/suˈavis/,adj,2026-02-22 15:36
silenciosas,silent,/silenˈsjɔzas/,adj,2026-02-22 15:36
indígena,indigenous person,/ĩnˈdʒiʒena/,noun_concrete,2026-02-22 15:36
vive,lives,/ˈvivɪ/,verb_vi,2026-02-22 15:36
beira-mar,seashore,/ˈbejɾaˈmaʁ/,noun_concrete,2026-02-22 15:36
caipira,from the countryside,/kajˈpiɾa/,adj,2026-02-22 15:36
solícito,solicitous attentive,/soˈlisitu/,adj,2026-02-22 15:36
risonho,smiling,/ʁiˈzoɲu/,adj,2026-02-22 15:36
generoso,generous,/ʒeneˈɾozu/,adj,2026-02-22 15:36
moradores,inhabitants,/moɾaˈdoɾis/,noun_concrete,2026-02-22 15:36
montanhas,mountains,/mõˈtɐɲas/,noun_concrete,2026-02-22 15:36
matas,forests,/ˈmatas/,noun_concrete,2026-02-22 15:36
bromélias,bromeliads,/bɾoˈmɛʎas/,noun_concrete,2026-02-22 15:36
Caruás,caruás,/kaɾuˈas/,noun_concrete,2026-02-22 15:36
caraguatás,caraguatás,/kaɾagwaˈtas/,noun_concrete,2026-02-22 15:36
caraguás,caraguás,/kaɾaˈguas/,noun_concrete,2026-02-22 15:36
orquídeas,orchids,/oʁˈkidʒeas/,noun_concrete,2026-02-22 15:36
hibiscos,hibiscus flowers,/iˈbiskus/,noun_concrete,2026-02-22 15:36
Girassóis,sunflowers,/ʒiɾaˈsɔjs/,noun_concrete,2026-02-22 15:36
Cores,colours,/ˈkoɾis/,noun_abstract,2026-02-22 15:36
verde,green,/ˈveʁdʒi/,noun_adj,2026-02-22 15:36
Me,me myself,/mi/,pron_clitic,2026-02-22 15:36
misturo,I mix,/misˈtuɾu/,verb_vr,2026-02-22 15:36
raízes,roots,/ʁaˈizis/,noun_concrete,2026-02-22 15:36
saio,I go out,/ˈsaju/,verb_vi,2026-02-22 15:36
passear,to stroll,/paseˈaʁ/,verb_vi,2026-02-22 15:36
ilhas,islands,/ˈiʎas/,noun_concrete,2026-02-22 15:36
Recortadas,cut carved,/ʁekoʁˈtadas/,adj,2026-02-22 15:36
cenário,scenery setting,/seˈnaɾju/,noun_abstract,2026-02-22 15:36
Sigo,I go on,/ˈsigu/,verb_vi,2026-02-22 15:36
nadando,swimming,/naˈdɐ̃du/,verb_ger,2026-02-22 15:36
tarde,afternoon,/ˈtaʁdʒi/,noun_abstract,2026-02-22 15:36
cai,falls,/kaj/,verb_vi,2026-02-22 15:36
sedutoramente,seductively,/sedutoɾaˈmẽtʃi/,adv,2026-02-22 15:36
escurece,darkens,/eskuˈɾɛsi/,verb_vi,2026-02-22 15:36
Verde,green,/ˈveʁdʒi/,noun_adj,2026-02-22 15:36
esmeralda,emerald,/esmeˈɾawda/,noun_adj,2026-02-22 15:36
fica,becomes gets,/ˈfika/,verb_vi,2026-02-22 15:36
acinzentado,greyish,/asĩzẽˈtadu/,adj,2026-02-22 15:36
Um,a,/ũ/,article_masc_indef,2026-02-22 15:36
vento,wind,/ˈvẽtu/,noun_concrete,2026-02-22 15:36
penetra,penetrates,/peˈnetɾa/,verb_vt,2026-02-22 15:36
minhas,my fem pl,/ˈmĩɲas/,pron_poss,2026-02-22 15:36
faltas,lacks faults,/ˈfawtas/,noun_abstract,2026-02-22 15:36
frente,forward,/ˈfɾẽtʃi/,noun_adv,2026-02-22 15:36
andando,walking,/ɐ̃ˈdɐ̃du/,verb_ger,2026-02-22 15:36
caminhando,walking,/kamiˈɲɐ̃du/,verb_ger,2026-02-22 15:36
Sonhando,dreaming,/soˈɲɐ̃du/,verb_ger,2026-02-22 15:36
Amando,loving,/aˈmɐ̃du/,verb_ger,2026-02-22 15:36
noite,night,/ˈnojtʃi/,noun_abstract,2026-02-22 15:36
chega,arrives,/ˈʃega/,verb_vi,2026-02-22 15:36
mansidão,stillness calm,/mɐ̃siˈdɐ̃w/,noun_abstract,2026-02-22 15:36
quase,almost,/ˈkwazi/,adv,2026-02-22 15:36
pede,asks,/ˈpɛdʒi/,verb_vt,2026-02-22 15:36
licença,permission,/liˈsẽsa/,noun_abstract,2026-02-22 15:36
abre,opens,/ˈabɾi/,verb_vt,2026-02-22 15:36
cortinas,curtains,/koʁˈtʃinas/,noun_concrete,2026-02-22 15:36
mais,another more,/majʃ/,adv,2026-02-22 15:36
música,music,/ˈmuzika/,noun_abstract,2026-02-22 15:36
Som,sound,/sõ/,noun_concrete,2026-02-22 15:36
intimidade,intimacy,/ĩtʃimiˈdadʒi/,noun_abstract,2026-02-22 15:36
brasileira,Brazilian,/bɾaziˈlejɾa/,adj,2026-02-22 15:36
melhor,best,/meˈʎɔʁ/,adj,2026-02-22 15:36
qualidade,quality,/kwaliˈdadʒi/,noun_abstract,2026-02-22 15:36
Acordes,chords,/aˈkoʁdʒis/,noun_concrete,2026-02-22 15:36
invadem,invade,/ĩˈvadzẽj/,verb_vt,2026-02-22 15:36
ruas,streets,/ˈʁuwas/,noun_concrete,2026-02-22 15:36
fim,end,/fĩ/,noun_abstract,2026-02-22 15:36
eterno,eternal,/eˈtɛʁnu/,adj,2026-02-22 15:36
recomeço,new beginning,/ʁekɔˈmesu/,noun_abstract,2026-02-22 15:36
Aromas,aromas,/aˈɾomas/,noun_perception,2026-02-22 15:36
sabores,flavours,/saˈboɾis/,noun_perception,2026-02-22 15:36
paladares,palates tastes,/palɐˈdaɾis/,noun_perception,2026-02-22 15:36
rumores,murmurs rumours,/ʁuˈmoɾis/,noun_abstract,2026-02-22 15:36
mistérios,mysteries,/misˈtɛɾjus/,noun_abstract,2026-02-22 15:36
esculturas,sculptures,/iskuɫˈtuɾas/,noun_concrete,2026-02-22 15:36
paulistas,Paulistas,/pawˈlistas/,noun_concrete,2026-02-22 15:36
telas,canvases,/ˈtɛlas/,noun_concrete,2026-02-22 15:36
