Comment ça va? | How are you? (informal) | [kɔmɑ̃ sa va]
Comment allez-vous? | How are you? (formal) | [kɔmɑ̃t‿ale vu]
Je m'appelle... | My name is... | [ʒə mapɛl]
Quel est votre nom? | What is your name? (formal) | [kɛl‿ɛ vɔtʁə nɔ̃]
Tu t'appelles comment? | What's your name? (informal) | [ty tapɛl kɔmɑ̃]
Je viens de... | I come from... | [ʒə vjɛ̃ də]
Je suis anglais | I am English (m) | [ʒə sɥi‿ɑ̃ɡlɛ]
Je suis anglaise | I am English (f) | [ʒə sɥi‿ɑ̃ɡlɛz]
J'habite à Londres | I live in London | [ʒabit a lɔ̃dʁ]
Parlez-vous anglais? | Do you speak English? | [paʁle vu‿ɑ̃ɡlɛ]
Je parle un peu français | I speak a little French | [ʒə paʁl œ̃ pø fʁɑ̃sɛ]
Je ne parle pas français | I don't speak French | [ʒə nə paʁl pa fʁɑ̃sɛ]
Je ne comprends pas | I don't understand | [ʒə nə kɔ̃pʁɑ̃ pa]
Pouvez-vous répéter? | Can you repeat? | [puve vu ʁepete]
Pouvez-vous parler plus lentement? | Can you speak more slowly? | [puve vu paʁle ply lɑ̃təmɑ̃]
Comment dit-on... en français? | How do you say... in French? | [kɔmɑ̃ di tɔ̃ ɑ̃ fʁɑ̃sɛ]
Qu'est-ce que c'est? | What is this? | [kɛs kə sɛ]
Qu'est-ce que ça veut dire? | What does that mean? | [kɛs kə sa vø diʁ]
Où sont les toilettes? | Where are the toilets? | [u sɔ̃ le twalɛt]
Où est...? | Where is...? | [u ɛ]
C'est où? | Where is it? | [sɛ u]
C'est loin? | Is it far? | [sɛ lwɛ̃]
C'est près | It's near | [sɛ pʁɛ]
À gauche | To the left | [a ɡoʃ]
À droite | To the right | [a dʁwat]
Tout droit | Straight ahead | [tu dʁwa]
Ici | Here | [isi]
Là-bas | Over there | [laba]
En face | Opposite | [ɑ̃ fas]
À côté de | Next to | [a kote də]
Combien ça coûte? | How much does it cost? | [kɔ̃bjɛ̃ sa kut]
C'est combien? | How much is it? | [sɛ kɔ̃bjɛ̃]
C'est trop cher | It's too expensive | [sɛ tʁo ʃɛʁ]
Avez-vous...? | Do you have...? | [ave vu]
Je voudrais... | I would like... | [ʒə vudʁɛ]
Je cherche... | I'm looking for... | [ʒə ʃɛʁʃ]
J'ai besoin de... | I need... | [ʒɛ bəzwɛ̃ də]
Pouvez-vous m'aider? | Can you help me? | [puve vu mɛde]
Quelle heure est-il? | What time is it? | [kɛl‿œʁ‿ɛtil]
Il est quelle heure? | What time is it? (informal) | [il‿ɛ kɛl‿œʁ]
À quelle heure? | At what time? | [a kɛl‿œʁ]
Aujourd'hui | Today | [oʒuʁdɥi]
Demain | Tomorrow | [dəmɛ̃]
Hier | Yesterday | [jɛʁ]
Maintenant | Now | [mɛ̃tnɑ̃]
Plus tard | Later | [ply taʁ]
Bientôt | Soon | [bjɛ̃to]
Déjà | Already | [deʒa]
Pas encore | Not yet | [pa‿ɑ̃kɔʁ]
Toujours | Always / Still | [tuʒuʁ]
