# English words from common-phrases-003.json
# Level: B
# Total unique words: 101
# 
# Translation column blank by design (Option 2 semantics).
# Format: word | translation | [ipa]

a |  | [ˈeɪ]
ahead |  | [ɐhˈɛd]
all |  | [ˈɔːl]
already |  | [ɔːlɹˈɛdi]
always |  | [ˈɔːlweɪz]
am |  | [ˈam]
are |  | [ˈɑː]
at |  | [ˈat]
back |  | [bˈak]
be |  | [bˈiː]
can |  | [kˈan]
cat |  | [kˈat]
come |  | [kˈʌm]
cool |  | [kˈuːl]
cost |  | [kˈɒst]
do |  | [dˈuː]
does |  | [dˈʌz]
don't |  | [dˈəʊnt]
english |  | [ˈɪŋɡlɪʃ]
expensive |  | [ɛkspˈɛnsɪv]
f |  | [ˈɛf]
far |  | [fˈɑː]
for |  | [fˈɔː]
formal |  | [fˈɔːməl]
french |  | [fɹˈɛntʃ]
from |  | [fɹˈɒm]
good |  | [ɡˈʊd]
have |  | [hˈav]
help |  | [hˈɛlp]
here |  | [hˈiə]
home |  | [hˈəʊm]
how |  | [hˈaʊ]
hungry |  | [hˈʌŋɡɹi]
i |  | [ˈaɪ]
i'll |  | [ˈaɪl]
i'm |  | [ˈaɪm]
in |  | [ˈɪn]
informal |  | [ɪnfˈɔːməl]
is |  | [ˈɪz]
it |  | [ˈɪt]
it's |  | [ˈɪts]
later |  | [lˈeɪtə]
learning |  | [lˈɜːnɪŋ]
left |  | [lˈɛft]
let's |  | [lˈɛts]
like |  | [lˈaɪk]
little |  | [lˈɪtəl]
live |  | [lˈaɪv]
london |  | [lˈʌndən]
looking |  | [lˈʊkɪŋ]
m |  | [ˈɛm]
me |  | [mˈiː]
mean |  | [mˈiːn]
more |  | [mˈɔː]
mother |  | [mˈʌðə]
much |  | [mˈʌtʃ]
my |  | [mˈaɪ]
name |  | [nˈeɪm]
near |  | [nˈiə]
need |  | [nˈiːd]
next |  | [nˈɛkst]
no |  | [nˈəʊ]
not |  | [nˈɒt]
now |  | [nˈaʊ]
opposite |  | [ˈɒpəsˌɪt]
over |  | [ˈəʊvə]
portuguese |  | [pˌɔːtʃəɡˈiːz]
problem |  | [pɹˈɒbləm]
repeat |  | [ɹɪpˈiːt]
right |  | [ɹˈaɪt]
say |  | [sˈeɪ]
see |  | [sˈiː]
sleeping |  | [slˈiːpɪŋ]
slowly |  | [slˈəʊli]
soon |  | [sˈuːn]
speak |  | [spˈiːk]
still |  | [stˈɪl]
straight |  | [stɹˈeɪt]
that |  | [ðˈat]
that's |  | [ðˈats]
the |  | [ðˈə]
there |  | [ðˈeə]
thirsty |  | [θˈɜːsti]
this |  | [ðˈɪs]
time |  | [tˈaɪm]
to |  | [tˈuː]
today |  | [tədˈeɪ]
toilets |  | [tˈɔɪləts]
tomorrow |  | [təmˈɒɹəʊ]
too |  | [tˈuː]
understand |  | [ˌʌndəstˈand]
very |  | [vˈɛɹɪ]
was |  | [wˈɒz]
what |  | [wˈɒt]
what's |  | [wˈɒts]
where |  | [wˈeə]
would |  | [wˈʊd]
yesterday |  | [jˈɛstədˌeɪ]
yet |  | [jˈɛt]
you |  | [jˈuː]
your |  | [jˈɔː]
