I'm lost (m) | Je suis perdu | [aɪm lˈɒst ˈɛm]
I'm lost (f) | Je suis perdue | [aɪm lˈɒst ˈɛf]
Can you show me the way? | Pouvez-vous m'indiquer le chemin? | [kan juː ʃˈəʊ mˌiː ðə wˈeɪ]
I'm looking for the train station | Je cherche la gare | [aɪm lˈʊkɪŋ fəðə tɹˈeɪn stˈeɪʃən]
Where is the bus stop? | Où est l'arrêt de bus? | [wˌeəɹ ɪz ðə bˈʌs stˈɒp]
A ticket to Paris, please | Un billet pour Paris, s'il vous plaît | [ɐ tˈɪkɪt tə pˈaɹɪs plˈiːz]
One-way or round-trip? | Aller simple ou aller-retour? | [wˈɒnwˈeɪ ɔː ɹˈaʊndtɹˈɪp]
What time does the train leave? | À quelle heure part le train? | [wˌɒt tˈaɪm dˈʌz ðə tɹˈeɪn lˈiːv]
The train is late | Le train est en retard | [ðə tɹˈeɪn ɪz lˈeɪt]
Is it direct? | C'est direct? | [ɪz ɪt daɪɹˈɛkt]
Where do I need to change? | Je dois changer où? | [wˌeə dˈuː aɪ nˈiːd tə tʃˈeɪndʒ]
Do you have a room available? | Avez-vous une chambre disponible? | [dˈuː juː hav ɐ ɹˈuːm ɐvˈeɪləbəl]
For how many nights? | Pour combien de nuits? | [fɔː hˌaʊ mˈɛni nˈaɪts]
What is the price per night? | Quel est le prix par nuit? | [wˌɒt ɪz ðə pɹˈaɪs pɜː nˈaɪt]
Is breakfast included? | Le petit-déjeuner est inclus? | [ɪz bɹˈɛkfəst ɪnklˈuːdɪd]
What time is breakfast? | À quelle heure est le petit-déjeuner? | [wˌɒt tˈaɪm ɪz bɹˈɛkfəst]
Can you wake me at seven o'clock? | Pouvez-vous me réveiller à sept heures? | [kan juː wˈeɪk mˌiː at sˈɛvən əklˈɒk]
The key doesn't work | La clé ne fonctionne pas | [ðə kˈiː dˈʌzənt wˈɜːk]
There's no hot water | Il n'y a pas d'eau chaude | [ðeəz nˈəʊ hˈɒt wˈɔːtə]
The air conditioning doesn't work | La climatisation ne marche pas | [ðɪ ˈeə kəndˈɪʃənɪŋ dˈʌzənt wˈɜːk]
A table for two people | Une table pour deux personnes | [ɐ tˈeɪbəl fɔː tˈuː pˈiːpəl]
Do you have a menu in English? | Avez-vous un menu en anglais? | [dˈuː juː hav ɐ mˈɛnjuː ɪn ˈɪŋɡlɪʃ]
What do you recommend? | Qu'est-ce que vous recommandez? | [wˌɒt dˈuː juː ɹˌɛkəmˈɛnd]
I'm vegetarian (m) | Je suis végétarien | [aɪm vˌɛdʒɪtˈeəɹiən ˈɛm]
I'm vegetarian (f) | Je suis végétarienne | [aɪm vˌɛdʒɪtˈeəɹiən ˈɛf]
I'm allergic to peanuts | Je suis allergique aux arachides | [aɪm ɐlˈɜːdʒɪk tə pˈiːnʌts]
Gluten-free, please | Sans gluten, s'il vous plaît | [ɡlˈuːtənfɹˈiː plˈiːz]
The bill, please | L'addition, s'il vous plaît | [ðə bˈɪl plˈiːz]
Is service included? | Est-ce que le service est compris? | [ɪz sˈɜːvɪs ɪnklˈuːdɪd]
Can I pay by card? | Je peux payer par carte? | [kan aɪ pˈeɪ baɪ kˈɑːd]
Keep the change | Gardez la monnaie | [kˈiːp ðə tʃˈeɪndʒ]
Where can I buy...? | Où puis-je acheter...? | [wˌeə kan aɪ bˈaɪ]
Can I try it on? | Est-ce que je peux essayer? | [kan aɪ tɹˈaɪ ɪt ˈɒn]
Do you have a larger size? | Avez-vous une taille plus grande? | [dˈuː juː hav ɐ lˈɑːdʒə sˈaɪz]
Do you have another color? | Avez-vous une autre couleur? | [dˈuː juː hav ɐnˈʌðə kˈʌlə]
Is it on sale? | C'est en solde? | [ɪz ɪt ˌɒn sˈeɪl]
Do you accept credit cards? | Acceptez-vous les cartes bancaires? | [dˈuː juː ɐksˈɛpt kɹˈɛdɪt kˈɑːdz]
Can you gift-wrap it? | Pouvez-vous faire un paquet-cadeau? | [kan juː ɡˈɪftɹˈap ɪt]
I need a doctor | J'ai besoin d'un médecin | [aɪ nˈiːd ɐ dˈɒktə]
Where is the nearest pharmacy? | Où est la pharmacie la plus proche? | [wˌeəɹ ɪz ðə nˈiəɹəst fˈɑːməsi]
I have a headache | J'ai mal à la tête | [aɪ hav ɐ hˈɛdeɪk]
I have a stomachache | J'ai mal au ventre | [aɪ hav ɐ stˈʌməkˌeɪk]
I have a fever | J'ai de la fièvre | [aɪ hav ɐ fˈiːvə]
I'm coughing a lot | Je tousse beaucoup | [aɪm kˈɒfɪŋ ɐ lˈɒt]
I feel sick | Je me sens mal | [aɪ fˈiːl sˈɪk]
I need a prescription | J'ai besoin d'une ordonnance | [aɪ nˈiːd ɐ pɹɪskɹˈɪpʃən]
Where is the police station? | Où est le commissariat? | [wˌeəɹ ɪz ðə pəlˈiːs stˈeɪʃən]
My bag was stolen | On m'a volé mon sac | [maɪ bˈaɡ wɒz stˈəʊlən]
I lost my passport | J'ai perdu mon passeport | [aɪ lˈɒst maɪ pˈaspɔːt]
Can you call the police? | Pouvez-vous appeler la police? | [kan juː kˈɔːl ðə pəlˈiːs]
