# Complete Italian Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1418

abbandonarla | to abandon her | [ˌabːandonˈaːrla]
abbandonata | abandoned | [ˌabːandonˈaːta]
abbia | has | [ˈabːia]
abbiamo | we have | [abːjˈamo]
abbracciano | hug | [abːrˈatʃːano]
abbracciati | hugged | [ˌabːratʃːˈaːtɪ]
abiti | clothes | [ˈabitɪ]
abito | suit | [ˈabito]
accade | happens | [akːˈaːde]
accanto | next to | [akːˈanto]
accendere | to light | [atʃːˈendere]
acceso | lit | [atʃːˈeːzo]
accetta | accepts | [atʃːˈetːa]
accetti | you accept | [atʃːˈetːɪ]
accoglie | welcomes | [akːˈoːʎe]
accogliente | cozy | [ˌakːoʎˈɛnte]
acqua | water | [ˈakːwa]
acquisti | purchases | [akːwˈistɪ]
ad | to | [ˈad]
addensando | thickening | [ˌadːensˈando]
adoriamo | we adore | [ˌadoriˈaːmo]
adoro | I adore | [adˈɔːro]
affascinante | charming | [ˌaffaʃinˈante]
affiorano | emerge | [ˌaffiorˈaːno]
affitto | rent | [affˈitːo]
affrontare | to face | [ˌaffrontˈaːre]
affrontarla | to face it | [ˌaffrontˈaːrla]
agita | stirs | [adʒˈiːta]
aiutare | to help | [ˌajʊtˈaːre]
aiutarmi | to help me | [ˌajʊtˈaːrmɪ]
aiutato | helped | [ˌajʊtˈaːto]
aiuterà | will help | [ˌajʊterˈa]
aiuto | help | [ajˈuːto]
al | to the | [ˈal]
albergo | hotel | [albˈɛːrɡo]
alberi | trees | [ˈalberɪ]
alcun | any | [alkˈun]
alcune | some | [alkˈune]
alcuni | some | [alkˈunɪ]
alimentari | groceries | [ˌalimentˈaːrɪ]
all'alba | at dawn | [allˈalba]
all'angolo | at the corner | [allˈaŋɡolo]
all'entrata | at the entrance | [allentrˈaːta]
all'improvviso | suddenly | [allˌimprovvˈiːzo]
all'ingresso | at the entrance | [alliŋɡrˈɛsso]
all'interno | inside | [allintˈɛːrno]
alla | to the | [ˈalla]
alle | to the | [ˈalle]
allergico | allergic | [allˈɛrdʒiko]
allo | to the | [ˈallo]
allontana | moves away | [ˌallontˈaːna]
alpi | alps | [ˈalpɪ]
alpini | alpine soldiers | [alpˈiːnɪ]
alpino | alpine | [alpˈiːno]
altra | other | [ˈaltra]
altre | others | [ˈaltre]
altro | other | [ˈaltro]
alza | raises | [ˈaltsa]
alzata | raised | [altsˈaːta]
ammirando | admiring | [ˌammirˈando]
amore | love | [amˈoːre]
anch'io | me too | [ankˈiːo]
anche | also | [ˈanke]
ancora | still | [ankˈoːra]
andare | to go | [andˈaːre]
andata | gone | [andˈaːta]
andiamo | let's go | [andjˈaːmo]
andremo | we will go | [andrˈɛːmo]
andrà | will go | [andrˈa]
angoscia | anguish | [aŋɡˈɔːʃa]
animale | animal | [ˌanimˈaːle]
animali | animals | [ˌanimˈaːlɪ]
anno | year | [ˈanno]
annullare | cancel | [ˌannʊllˈaːre]
annuncia | announces | [annˈuntʃa]
annuncio | announcement | [annˈuntʃo]
anzi | in fact | [ˈantsɪ]
appare | appears | [apːˈaːre]
appartamento | apartment | [ˌapːartamˈento]
appena | just | [apːˈeːna]
appetito | appetite | [ˌapːetˈiːto]
appuntamento | appointment | [ˌapːʊntamˈento]
apre | opens | [ˈaːpre]
aprire | to open | [aprˈiːre]
arachidi | peanuts | [arˈakidɪ]
arde | burns | [ˈaːrde]
arriva | arrives | [arɾˈiːva]
arrivano | they arrive | [arɾˈivano]
arrivare | to arrive | [ˌarɾivˈaːre]
arrivati | arrived | [ˌarɾivˈaːtɪ]
arrivederci | goodbye | [ˌarɾivedˈɛːrtʃɪ]
arriviamo | we arrive | [ˌarɾivjˈaːmo]
arrivo | arrival | [arɾˈiːvo]
ascolta | listens | [askˈolta]
ascoltarlo | listen to him | [ˌaskoltˈaːrlo]
ascoltarti | listen to you | [ˌaskoltˈaːrtɪ]
aspetta | waits | [aspˈɛtːa]
aspettare | to wait | [ˌaspetːˈaːre]
aspettiamo | we wait | [ˌaspetːjˈaːmo]
assorbe | absorbs | [assˈɔːrbe]
attentamente | carefully | [ˌatːentamˈente]
attenzione | attention | [ˌatːentsiˈɔːne]
atterra | lands | [atːˈɛrɾa]
attraverso | through | [ˌatːravˈɛːrso]
aumentare | increase | [ˌaʊmentˈaːre]
autentica | authentic | [ˌaʊtˈɛntika]
autobus | bus | [ˈaʊtˌobʊs]
autorizzazione | authorization | [ˌaʊtˌɔritsːˌatsiˈɔːne]
avanti | forward | [avˈantɪ]
avanza | advances | [avˈantsa]
avanziamo | we advance | [ˌavantsjˈaːmo]
avere | to have | [avˈeːre]
averti | to have you | [avˈɛːrtɪ]
avessi | had | [avˈɛssɪ]
avete | you have | [avˈete]
aveva | had | [avˈeva]
avevo | I had | [avˈɛvo]
avrei | I would have | [avrˈeːɪ]
avremmo | we would have | [avrˈɛmmo]
avventura | adventure | [ˌavventˈuːra]
avvicina | approaches | [ˌavvitʃˈiːna]
avvicinano | they approach | [ˌavvitʃinˈaːno]
avvisato | warned | [ˌavvizˈaːto]
azzurro | blue | [adzːˈurɾo]
bagagli | luggage | [baɡˈaːʎɪ]
bagni | bathrooms | [bˈaɲɲɪ]
baita | cabin | [bˈaɪːta]
bancaria | banking | [bankˈaria]
bancario | bank | [bankˈario]
banco | counter | [bˈanko]
bancomat | ATM | [bˈankomat]
bancone | counter | [bankˈoːne]
barista | bartender | [barˈista]
basso | low | [bˈasso]
bel | beautiful | [bˈɛl]
bela | beautiful (feminine, regional) | [bˈɛːla]
belato | bleat | [belˈaːto]
bella | beautiful | [bˈɛlla]
bellissima | very beautiful | [bellˈissima]
bello | beautiful | [bˈɛllo]
bene | well | [bˈɛːne]
benvenuti | welcome (plural) | [bˌenvenˈuːtɪ]
benvenuto | welcome | [bˌenvenˈuːto]
beve | drinks | [bˈeːve]
bevono | they drink | [bˈevono]
bianchezza | whiteness | [bjankˈetsːa]
bianchi | white (plural) | [bjˈankɪ]
bianco | white | [bjˈanko]
biglietti | tickets | [biʎˈetːɪ]
biglietto | ticket | [biʎˈetːo]
binario | track | [binˈario]
bisogno | need | [bizˈoɲʲo]
bloccare | block | [blokːˈaːre]
blu | blue | [blˈu]
bollire | boil | [bollˈiːre]
bontà | goodness | [bontˈa]
bordeaux | burgundy | [(fr)bɔrdˈo(it)]
borsa | bag | [bˈoːrsa]
bottiglia | bottle | [botːˈiːʎa]
brucia | burns | [brˈuːtʃa]
buon | good | [bʊˈon]
buona | good | [bʊˈona]
buonanotte | goodnight | [bˌʊonanˈɔtːe]
buonasera | good evening | [bˌʊonazˈɛːra]
buongiorno | good morning | [bˌʊondʒˈɔːrno]
buono | good | [bʊˈono]
bus | bus | [bˈus]
c'è | there is | [tʃˈɛ]
caffelatte | milk coffee | [kˌaffelˈatːe]
caffè | coffee | [kaffˈɛ]
calda | hot | [kˈalda]
caldi | hot | [kˈaldɪ]
caldo | hot | [kˈaldo]
calma | calm | [kˈalma]
calmo | calm | [kˈalmo]
calore | heat | [kalˈoːre]
caloroso | warm | [kˌalorˈoːzo]
cambia | changes | [kˈambia]
cambiamento | change | [kˌambjamˈento]
cambiando | changing | [kambjˈando]
cambiare | change | [kambjˈaːre]
cambiati | changed | [kambjˈaːtɪ]
cambio | exchange | [kˈambio]
camera | room | [kˈamera]
camere | rooms | [kˈamere]
cameriere | waiter | [kˌameriˈɛːre]
camino | fireplace | [kamˈiːno]
cammina | walks | [kammˈiːna]
camminano | they walk | [kˌamminˈaːno]
camminavamo | we were walking | [kˌamminavˈaːmo]
campagna | countryside | [kampˈaɲɲa]
cancellate | deleted | [kˌantʃellˈaːte]
cancellato | deleted | [kˌantʃellˈaːto]
cancellazione | cancellation | [kˌantʃellˌatsiˈɔːne]
cane | dog | [kˈaːne]
capace | able | [kapˈaːtʃe]
capaci | able | [kapˈaːtʃɪ]
capacità | capacity | [kˌapatʃitˈa]
capanna | hut | [kapˈanna]
capire | understand | [kapˈiːre]
