Hoe gaat het? | How are you? (informal) | [hˈu ɣˈaːt hət]
Hoe gaat het met u? | How are you? (formal) | [hˈu ɣˈaːt hət mɛt y]
Ik heet... | My name is... | [ɪk hˈeːt]
Wat is uw naam? | What is your name? (formal) | [ʋɑt ɪs yʊ nˈaːm]
Hoe heet je? | What's your name? (informal) | [hˈu hˈeːt jə]
Ik kom uit... | I come from... | [ɪk kˈɔm ˈœyt]
Ik ben Engels | I am English (m) | [ɪk bɛn ˈɛŋəls]
Ik ben Engelse | I am English (f) | [ɪk bɛn ˈɛŋɛlsə]
Ik woon in Londen | I live in London | [ɪk ʋˈoːn ɪn lˈɔndən]
Spreekt u Engels? | Do you speak English? | [sprˈeːkt y ˈɛŋəls]
Ik spreek een beetje Frans | I speak a little French | [ɪk sprˈeːk ən bˈeːtʲə frˈɑns]
Ik spreek geen Frans | I don't speak French | [ɪk sprˈeːk ɣˈeːn frˈɑns]
Ik begrijp het niet | I don't understand | [ɪk bəɣrˈɛɪp hət nˈit]
Kunt u dat herhalen? | Can you repeat? | [kɵnt y dɑt hɛrhˈaːlən]
Kunt u langzamer spreken? | Can you speak more slowly? | [kɵnt y lˈɑŋzaːmər sprˈeːkən]
Hoe zeg je... in het Frans? | How do you say... in French? | [hˈu zˈɛx jə
 ɪn hət frˈɑns]
Wat is dit? | What is this? | [ʋɑt ɪs dˈɪt]
Wat betekent dat? | What does that mean? | [ʋɑt bətˈeːkən tɑt]
Waar is het toilet? | Where are the toilets? | [ʋˈaːr ɪs hə tʋɑlˈɛt]
Waar is...? | Where is...? | [ʋˈaːr ɪs]
Waar is het? | Where is it? | [ʋˈaːr ɪs hət]
Is het ver? | Is it far? | [ɪs hət vˈɛr]
Het is dichtbij | It's near | [hət ɪs dɪxtbˈɛɪ]
Naar links | To the left | [naːr lˈɪŋks]
Naar rechts | To the right | [naːr rˈɛxts]
Rechtdoor | Straight ahead | [rɛxtˈoːr]
Hier | Here | [hˈir]
Daar | Over there | [dˈaːr]
Tegenover | Opposite | [tˈeːɣənˌoːvər]
Naast | Next to | [nˈaːst]
Hoeveel kost het? | How much does it cost? | [huvˈeːl kˈɔst hət]
Hoeveel is het? | How much is it? | [huvˈeːl ɪs hət]
Het is te duur | It's too expensive | [hət ɪs tə dˈyr]
Heeft u...? | Do you have...? | [hˈeːft y]
Ik zou graag... willen | I would like... | [ɪk zʌʊ ɣrˈaːx
 ʋˈɪlən]
Ik zoek... | I'm looking for... | [ɪk zˈuk]
Ik heb... nodig | I need... | [ˈɪk hɛp
 nˈoːdəx]
Kunt u me helpen? | Can you help me? | [kɵnt y mə hˈɛlpən]
Hoe laat is het? | What time is it? | [hˈu lˈaːt ɪs hət]
Hoe laat is het? | What time is it? (informal) | [hˈu lˈaːt ɪs hət]
Hoe laat? | At what time? | [hˈu lˈaːt]
Vandaag | Today | [vɑndˈaːx]
Morgen | Tomorrow | [mˈɔrɣən]
Gisteren | Yesterday | [ɣˈɪstərən]
Nu | Now | [nˈy]
Later | Later | [lˈaːtər]
Binnenkort | Soon | [bˈɪnənkˌɔrt]
Al | Already | [ˈɑl]
Nog niet | Not yet | [nˈɔx nˈit]
Altijd / Nog steeds | Always / Still | [ˈɑltɛɪt slˈɛʃ nˈɔx stˈeːts]
