# Portuguese words from phr-01.txt
# Level: B
# Total unique words: 42
#
# Format: word | translation | [ipa]
# One word per line
#

agora | now | [ˌaɡˈɔɾæ]
amanhã | tomorrow | [ˌæmɐ̃ɲˈɐ̃]
chama | flame | [ʃˈɐ̃mæ]
como | as | [kˈomʊ]
conhecer | to know | [kˌoɲesˈer]
custa | costs | [kˈustæ]
de | of | [dʒˈy]
depois | after | [depˈoɪs]
devagar | slowly | [dˌevaɡˈar]
em | in | [ˈeɪŋ]
entendo | I understand | [ˌeɪŋtˈeɪŋdʊ]
eu | I | [ˈeʊ]
fala | he speaks | [fˈalæ]
falo | I talk | [fˈalʊ]
fica | he is | [fˈikæ]
gosto | I like | [ɡˈostʊ]
hoje | today | [ˈoʒy]
horas | hours | [ˈɔɾæs]
inglês | English | [iŋɡlˈes]
mais | more | [mˈaɪs]
meu | my | [mˈeʊ]
nome | name | [nˈomy]
nunca | never | [nˈũŋkæ]
não | no | [nˈɐ̃ʊ̃]
onde | where | [ˈoŋdʒy]
ontem | yesterday | [ˈoŋteɪŋ]
pode | he can | [pˈɔdʒy]
posso | can I | [pˈɔsʊ]
pouco | little | [pˈowkʊ]
prazer | pleasure | [prazˈer]
quanto | as | [kwˈɐ̃ŋtʊ]
que | what | [kˈy]
quero | I want | [kˈɛɾʊ]
repetir | repeat | [xˌepetʃˈir]
se | if | [sˈy]
sei | I know | [sˈeɪ]
sempre | always | [sˈeɪmpry]
são | they are | [sˈɐ̃ʊ̃]
ter | to have | [tˈer]
um | one | [ˈũŋ]
você | you | [vosˈe]
é | and | [ˌɛaɡˈudʊ]
